age;Auditory;Kinaesthetic;Visual;Extrinsic Motivation;Intrinsic Motivation;Self-Efficacy;Study Time;Conscientiousness;CAO Points;Maths;English;Pass
19;5.0;6.69839174137451;3.30160825862549;9.30819931178121;6.875;7.32186483141656;7.79099655890604;8.72132874520806;352.0;19.0;45.0;Pass
31;6.28553783113603;2.5;6.21446216886397;7.53553783113603;6.30330674670404;7.09517927704534;6.89276891556801;6.44056441776532;187.0;35.0;28.0;Pass
36;6.77696618135087;2.5;5.72303381864913;8.02696618135087;7.04044927202631;7.25898872711696;7.13848309067544;6.1948502426579;111.0;21.0;17.0;Pass
22;6.75613155995961;3.98773688008077;4.25613155995961;6.62193422002019;5.94516444994952;5.08946489329295;2.5;4.0426885933266;327.0;36.0;46.0;Fail
23;7.22865518298931;2.22865518298931;5.54268963402137;6.45350861275801;6.94283620425267;6.28557469501781;3.31403445103206;4.52845975601425;274.0;33.0;35.0;Fail
19;4.58729979058262;0.41270020941738;10.0;7.81547484293696;7.80952515706304;9.72486652705508;9.27777463351958;7.5;279.0;15.0;45.0;Fail
19;3.51645169139374;4.53290338278748;6.95064492581878;6.75822584569687;7.08798369436408;5.31139774480835;3.98354830860626;5.48080636004064;347.0;36.0;68.0;Fail
19;5.0;5.154669029871;4.845330970129;7.5;4.62949911379837;4.50599881839783;4.845330970129;4.72722123755375;388.0;36.0;69.0;Fail
23;4.18513959099073;2.44458122702781;8.37027918198146;8.73614530675695;7.47229061351391;6.62972081801854;7.05100571576622;6.09571700750772;378.0;39.0;78.0;Fail
24;3.63635112997144;6.36364887002856;5.0;9.85795610875357;9.43182443501428;9.81060814500476;10.0;7.87878370999048;214.0;35.0;49.0;Fail
28;5.47031743684784;0.470317436847836;9.05936512630433;8.36015871842392;6.48515871842392;5.78386239474639;6.44805551448371;6.12214282193842;347.0;30.0;70.0;Fail
33;3.80722239264287;2.38555521471426;8.80722239264287;7.82680559816072;5.95180559816072;5.79518507157142;5.35541679448215;5.61546293455952;159.0;37.0;31.0;Fail
20;2.62581166927703;4.74837666144595;7.62581166927703;7.53145291731926;3.87581166927703;5.79139611024099;3.25081166927703;3.04247833594369;366.0;54.0;53.0;Fail
24;3.67659677518532;2.64680644962937;8.67659677518532;8.29042540310184;6.41542540310184;5.88226881654312;6.78297782171285;4.64468145219143;403.0;34.0;89.0;Fail
21;0.579463411122561;8.84107317775488;5.57946341112256;8.67756707360968;6.80256707360968;7.94702439258496;9.49296951526776;2.83802032315483;344.0;28.0;96.0;Fail
29;3.36916406988166;6.63083593011834;5.0;9.03076367249014;7.15576367249014;8.70768489665352;10.0;5.49481250656148;184.0;15.0;54.0;Fail
19;3.36496262869332;3.27007474261336;8.36496262869332;8.14872197151999;5.625;6.66666666666667;4.375;5.25669158087112;283.0;37.0;42.0;Fail
20;7.19038216921035;2.19038216921035;5.6192356615793;8.67259554230259;6.25;7.19038216921035;7.26778662690776;4.32147558206149;370.0;12.0;66.0;Fail
33;4.86251096182968;4.25832602544688;5.87916301272344;8.71562774045742;6.62083698727656;8.28750365394323;9.12083698727656;8.87361232909219;97.0;3.0;14.0;Fail
23;5.0;1.52400051476434;8.47599948523566;7.55349980696337;6.82150019303663;5.25400008579406;4.67249967827229;6.30566696694586;403.0;34.0;77.0;Fail
25;5.56080317415763;1.12160634831525;8.31759047752712;8.125;6.67060238061822;5.56080317415763;6.60640555477585;5.88400264513136;371.0;45.0;72.0;Fail
20;3.49383769906126;5.0;6.50616230093874;7.62422971238266;6.12191884953063;6.83230628317688;5.49306741144392;6.16461256635375;244.0;36.0;37.0;Fail
33;2.5;5.0;7.5;8.37485405500047;7.99970811000094;4.16666666666667;4.99975675833412;5.83333333333333;0.0;0.0;0.0;Pass
19;5.0;0.0;10.0;9.375;7.5;8.33333333333333;3.125;6.25;413.0;45.0;29.0;Pass
29;2.5;5.0;7.5;8.75;9.375;7.5;10.0;9.16666666666667;175.0;64.0;17.0;Pass
31;2.5;5.0;7.5;6.875;5.0;4.16666666666667;2.5;5.83333333333333;0.0;0.0;0.0;Pass
32;3.67189878015779;1.32810121984221;10.0;8.37892408511834;6.50392408511834;7.89063292671926;4.78512652480276;7.57810121984221;194.0;21.0;13.0;Pass
26;4.97639300883748;0.0472139823250473;9.97639300883748;5.01770524337189;6.23819650441874;6.64305967550414;9.92917902651243;5.42060116519375;251.0;36.0;34.0;Pass
30;3.06587748927996;4.43412251072004;7.5;8.67926531384001;9.23353062768001;7.5;9.78779594152002;8.97804083690668;183.0;66.0;16.0;Pass
21;3.65805218811147;2.68389562377706;8.65805218811147;9.375;8.84194781188853;8.78064927062951;4.80243476486066;6.25;331.0;31.0;29.0;Pass
28;2.5;4.35522845305968;8.14477154694032;7.19738577347016;5.16119288673508;5.02636206258709;4.43431464082096;6.26318103129355;80.0;14.0;12.0;Pass
31;2.5;4.84233017894439;7.65766982105561;7.07208727631951;5.15766982105561;4.32433648772227;2.97300946316682;5.72822011929626;22.0;4.0;1.0;Pass
32;2.5;4.40691856376361;8.09308143623639;7.61635179529549;5.59308143623639;4.75974810290306;4.27924430870917;5.43794570917574;83.0;15.0;3.0;Pass
32;2.5;5.0;7.5;7.28387831928558;5.65420531085692;4.92990619599974;3.15420531085692;6.1604359887618;18.0;6.0;1.0;Pass
26;2.5;5.0;7.5;7.12198656125111;6.97589249000885;6.47187457167699;4.47589249000885;6.82127957833776;180.0;22.0;25.0;Pass
20;5.0;1.70990493264981;8.29009506735019;7.33490493264981;6.84257130051265;6.36006337823346;7.33490493264981;5.83333333333333;388.0;50.0;58.0;Pass
44;2.5;4.909058547928;7.590941452072;8.147735363018;7.590941452072;6.787921936096;3.306882904144;8.393960968048;0.0;0.0;0.0;Pass
20;4.8702086758567;2.6297913241433;7.5;8.06010433792835;6.31489566207165;5.9198608827622;8.22234349310747;5.9198608827622;496.0;72.0;73.0;Pass
22;4.05758317094296;2.82725048717111;8.11516634188592;6.8030210363213;8.125;7.81413894301901;4.68258317094296;5.51919439031432;351.0;63.0;36.0;Pass
21;3.4997989598196;2.2503015602706;9.2498994799098;6.3751005200902;7.7499497399549;7.5;5.625;5.9583500866817;237.0;18.0;37.0;Pass
43;2.5;2.5;10.0;8.85287305733073;9.17701554135419;9.31417961779516;7.61063471334637;9.38276165601565;76.0;7.0;12.0;Pass
