biacromial,pelvicBreadth,bitrochanteric,chestDepth,chestDiam,elbowDiam,wristDiam,kneeDiam,ankleDiam,age,weight,height
42.9,26,31.5,17.7,28,13.1,10.4,18.8,14.1,21,65.6,174
43.7,28.5,33.5,16.9,30.8,14,11.8,20.6,15.1,23,71.8,175.3
40.1,28.2,33.3,20.9,31.7,13.9,10.9,19.7,14.1,28,80.7,193.5
44.3,29.9,34,18.4,28.2,13.9,11.2,20.9,15,23,72.6,186.5
42.5,29.9,34,21.5,29.4,15.2,11.6,20.7,14.9,22,78.8,187.2
43.3,27,31.5,19.6,31.3,14,11.5,18.8,13.9,21,74.8,181.5
43.5,30,34,21.9,31.7,16.1,12.5,20.8,15.6,26,86.4,184
44.4,29.8,33.2,21.8,28.8,15.1,11.9,21,14.6,27,78.4,184.5
43.5,26.5,32.1,15.5,27.5,14.1,11.2,18.9,13.2,23,62,175
42,28,34,22.5,28,15.6,12,21.1,15,21,81.6,184
40.3,29,33,20.1,30.3,13.4,10.4,19.4,14.5,23,76.6,180
43.7,29,31.3,20.5,29.7,15,11.7,20.9,16,22,83.6,177.8
47.4,29.6,35.7,20.8,31.4,16.1,11.3,21.5,15.4,20,90,192
40.3,27.5,31.4,21.7,28,13.3,10.3,18.8,13.2,26,74.6,176
41,26.8,32.2,21.9,28.6,14.9,10.6,17.8,14,23,71,174
45,27,33.2,21.7,30.6,13.7,11.1,20.7,14,22,79.6,184
39.9,30,34.5,21,29.4,15.6,11.9,21.2,16,30,93.8,192.7
43,26.5,30.3,19.3,30,14.8,11.2,19.7,14.7,22,70,171.5
43.1,28.6,33.4,22.2,29.5,14.9,12.2,20.8,14.8,29,72.4,173
43.6,29.3,34.4,20.2,32.6,15.4,10.9,20.7,15.5,22,85.9,176
42,27.5,30.7,21.3,32,13.1,11.1,19.2,13.9,22,78.8,176
43.8,28,33.3,20,32,15,11.5,20.4,14.4,20,77.8,180.5
42.3,26.4,31.2,18,30.9,14.6,10.8,18.6,13.8,22,66.2,172.7
42.7,29.9,35,21.8,32.8,14.3,11.2,19.8,14.1,24,86.4,176
44.8,27.8,32.2,18.3,31.5,15.2,11.6,19.4,14.7,26,81.8,173.5
46,30.1,34.5,20.2,31.1,16.4,13.3,22.2,14.9,24,89.6,178
45.4,31.8,35.2,20.2,32.3,14.6,10.5,20.2,15.3,21,82.8,180.3
40.5,28.3,33.4,19.2,28.8,14.6,11.1,20.8,14.5,24,76.4,180.3
39.4,25.5,30.2,17.6,27.7,13,10.2,18.9,13.2,23,63.2,164.5
40.2,27.2,31.7,18.1,26.5,13.3,10.1,18.6,13.2,19,60.9,173
44.2,30.3,34.7,19.4,30,14.9,11,19.1,15.8,23,74.8,183.5
41,23.6,30.2,22.9,28,14.3,11.2,18.2,14,25,70,175.5
44,31,35.3,19.2,31,15.2,11.4,21.2,15.1,23,72.4,188
41.6,32,35.3,23.6,27,15.5,11.3,20.9,15,23,84.1,189.2
41,25.1,31.9,20.8,27.9,13.6,10.8,18.8,12.9,23,69.1,172.8
41.5,24.5,30.5,17.7,26.7,13.3,10.8,18.6,14,20,59.5,170
41.1,27.8,31.4,19,31.5,14.5,11.9,18.5,13,22,67.2,182
38.8,27.2,31.6,18.5,25.5,13.4,10.8,19,14,24,61.3,170
36.2,27.5,30.4,18.7,28,13.6,10.8,19,15.4,22,68.6,177.8
42.1,27.5,32.4,18.2,28,16.2,12,21,16.4,24,80.1,184.2
40.3,29.4,32.9,23.7,31.5,14.6,11.3,19.8,15.2,21,87.8,186.7
41.7,27.1,32.6,21.6,28,14.1,11.5,19.7,13.8,23,84.7,171.4
37.8,27.1,31.5,18.5,27.3,14.6,10.8,19.5,14.9,24,73.4,172.7
39.2,26.1,30.8,19.4,29.9,14.3,11.2,20,16,35,72.1,175.3
41.5,30.8,33.3,19.4,30.6,14.8,11.3,20.2,16,29,82.6,180.3
42.5,27.8,33.5,20.6,30.2,15.9,12.8,22.4,16.3,25,88.7,182.9
39.4,26.1,34.4,20.4,27.3,15.1,10.6,20,15.3,23,84.1,188
43.6,33.1,33.5,21.6,33.1,15.6,12,20.7,16.5,20,94.1,177.2
38.9,24.9,28.7,19.7,26.8,14.2,10.2,18,14.4,25,74.9,172.1
37.6,24.4,28,18,26.4,14.2,10.6,17.3,13.4,29,59.1,167
39.4,28.3,30.6,20.2,28.7,15,11.5,18.4,14.4,23,75.6,169.5
38.5,26.1,30.8,20.6,30.8,15.1,11.4,19.8,14.2,23,86.2,174
40.1,27.8,33.1,19.2,31.3,15.4,11.5,20.6,15.4,36,75.3,172.7
40.3,28,32,20.9,31.7,14.8,10.6,19.4,15,25,87.1,182.2
37.6,26.6,29.9,17.3,25.6,12.8,10,17,13,24,55.2,164.1
38.3,25.2,30.2,17,26.4,13.2,10.4,18.8,13,20,57,163
39.7,28.6,32.1,19.1,27.1,13.4,10,18.2,14.8,52,61.4,171.5
42.2,29,33.7,22.5,30.4,15.6,12,19.8,16.2,50,76.8,184.2
41.1,30.4,35.1,23.2,32.6,15.5,11.6,21.5,15.4,46,86.8,174
40.5,29.3,33.7,19.6,29.8,13.8,11.7,19.7,14.4,51,72.2,174
41.5,28.6,30.4,20.8,26.9,14.8,11.2,20.7,16.5,28,71.6,177
43.4,32.4,36.4,20.3,32.1,15.6,12,20.8,16.3,48,84.8,186
43.5,26,31.6,19.1,30.9,14.3,11.4,19.5,14.6,35,68.2,167
41.3,27.1,32.4,17.5,27.6,14.1,10.8,20.2,15.5,23,66.1,171.8
40.3,29.5,33.3,18.4,26.2,14,11,19.4,14.8,23,72,182
36.3,29.2,33,20,29,14.1,11.7,20.4,14.3,62,64.6,167
39.9,28.3,32,18.3,31.4,13.5,11.4,18.9,14.4,21,74.8,177.8
39.8,28.8,33,19.7,28.7,12.4,10.7,18.5,13.2,26,70,164.5
43.5,33.2,34,23.9,34.3,15.8,12,18.6,13.2,33,101.6,192
41.2,26.6,30.6,19.5,28,13.1,10.4,19,13.8,36,63.2,175.5
44,28.4,32,22.5,29.7,14.9,10.9,21,14.8,41,79.1,171.2
41.8,28.5,31.6,21.6,31.5,13.3,10.3,18.9,14.3,40,78.9,181.6
42.9,27.5,30.3,18.9,29.6,12.6,10.4,19.2,13.8,27,67.7,167.4
38.7,24.6,28.5,18.3,29.8,14,11.2,18.9,13.6,27,66,181.1
41.4,26.4,32.3,18.6,31.3,14.9,11.5,18.9,14.6,23,68.2,177
39.6,27.5,30.2,19.2,28.9,13.5,10.4,19.3,14.2,31,63.9,174.5
40.5,27.5,32.3,19.4,28.8,12.6,10.6,18.4,14,26,72,177.5
34.1,28.1,30.1,21.8,25.8,12.9,9.9,18.6,12.3,23,56.8,170.5
43.5,28.8,34,20.6,29,14.3,10.5,19.8,14.2,24,74.5,182.4
44.1,29.2,35.3,23.6,30.9,15.8,12.5,20.2,15.2,24,90.9,197.1
42.2,32.6,36.6,22.4,34.5,14.1,11.1,18.2,13.9,34,93,180.1
42.2,30.1,31.4,21.2,29.7,14,11.6,21.6,14.1,21,80.9,175.5
43,26.5,31.6,20.6,29.5,13.4,10.4,18.8,13.6,25,72.7,180.6
39.8,28.7,33.3,19.3,29.2,13.5,11.6,19.5,14.6,34,68,184.4
37.7,29.7,32.7,20.2,28.8,13.3,11.1,18.3,13.2,31,70.9,175.5
39.6,27.9,33.3,20.2,29.5,12.6,10.7,18.5,12.9,40,72.5,180.6
43.2,26.3,30.5,19.7,30.6,14.4,12.3,20.2,13.6,21,72.5,177
44.3,28.2,32.2,21.2,31.8,14.2,11.6,20,14.4,33,83.4,177.1
43.3,28.2,33,19.4,31.6,13.8,11.1,17.8,13.2,25,75.5,181.6
42.8,27.5,31.5,19.2,31.8,14.1,11.1,19.1,14.7,29,73,176.5
41.5,30,33.4,19.1,29.4,14.8,11,19.8,13.8,27,70.2,175
42,27.6,32.2,19.7,29.4,13.9,10,18.7,13.8,44,73.4,174
41.2,27.1,29.8,20.1,31,12.9,11.6,18.8,13.5,26,70.5,165.1
43.8,29.5,31.2,18.2,29.5,13.1,10.3,19.1,13.2,22,68.9,177
