age;workclass;fnlwgt;education;education_num;marital_status;occupation;relationship;race;sex;capital_gain;capital_loss;hours_per_week;native_country;label
49.0;Self-emp-inc;191681.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
56.0;Self-emp-not-inc;335605.0;HS-grad;9.0;Married-civ-spouse;Other-service;Husband;White;Male;0.0;1887.0;50.0;Canada;>50K
40.0;Private;207578.0;Assoc-acdm;12.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;1977.0;60.0;United-States;>50K
24.0;Private;279472.0;Some-college;10.0;Married-civ-spouse;Machine-op-inspct;Wife;White;Female;7298.0;0.0;48.0;United-States;>50K
34.0;Private;142897.0;Masters;14.0;Married-civ-spouse;Exec-managerial;Husband;Asian-Pac-Islander;Male;7298.0;0.0;35.0;Taiwan;>50K
35.0;Private;92440.0;12th;8.0;Divorced;Craft-repair;Not-in-family;White;Male;0.0;0.0;50.0;United-States;>50K
38.0;Private;91039.0;Bachelors;13.0;Married-civ-spouse;Sales;Husband;White;Male;15024.0;0.0;60.0;United-States;>50K
37.0;Private;22463.0;Assoc-voc;11.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;1977.0;40.0;United-States;>50K
29.0;Private;350162.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Wife;White;Male;0.0;0.0;40.0;United-States;>50K
31.0;Private;168387.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;7688.0;0.0;40.0;Canada;>50K
46.0;Private;102388.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;15024.0;0.0;45.0;United-States;>50K
42.0;Private;341204.0;Assoc-acdm;12.0;Divorced;Prof-specialty;Unmarried;White;Female;8614.0;0.0;40.0;United-States;>50K
33.0;Private;182556.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
34.0;Self-emp-not-inc;190290.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
51.0;Self-emp-not-inc;160724.0;Bachelors;13.0;Married-civ-spouse;Sales;Husband;Asian-Pac-Islander;Male;0.0;2415.0;40.0;China;>50K
47.0;Private;192835.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
44.0;Self-emp-inc;320984.0;Some-college;10.0;Married-civ-spouse;Sales;Husband;White;Male;5178.0;0.0;60.0;United-States;>50K
61.0;Self-emp-not-inc;30073.0;HS-grad;9.0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0.0;1848.0;60.0;United-States;>50K
36.0;Federal-gov;218542.0;Assoc-acdm;12.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
47.0;Private;67716.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
45.0;Private;103538.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
48.0;Private;125421.0;Masters;14.0;Divorced;Exec-managerial;Unmarried;White;Female;0.0;0.0;40.0;United-States;>50K
26.0;Private;266912.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
61.0;Self-emp-not-inc;163174.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;35.0;United-States;>50K
52.0;Private;147876.0;Bachelors;13.0;Married-civ-spouse;Sales;Wife;White;Female;15024.0;0.0;60.0;United-States;>50K
34.0;Self-emp-inc;175761.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
46.0;Private;99835.0;Prof-school;15.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
37.0;Private;188540.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;1902.0;45.0;United-States;>50K
56.0;Private;187487.0;HS-grad;9.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;0.0;48.0;United-States;>50K
31.0;Private;157887.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;65.0;United-States;>50K
44.0;Private;161819.0;HS-grad;9.0;Married-civ-spouse;Machine-op-inspct;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
49.0;Federal-gov;168232.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
37.0;Private;123211.0;HS-grad;9.0;Married-civ-spouse;Other-service;Husband;White;Male;0.0;0.0;44.0;United-States;>50K
33.0;Self-emp-inc;201763.0;Bachelors;13.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
50.0;Private;156877.0;11th;7.0;Married-civ-spouse;Transport-moving;Husband;White;Male;0.0;0.0;70.0;United-States;>50K
30.0;Self-emp-inc;78530.0;HS-grad;9.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;65.0;Canada;>50K
64.0;Private;319371.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024.0;0.0;40.0;United-States;>50K
50.0;Federal-gov;20179.0;Masters;14.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
39.0;Private;172425.0;Assoc-voc;11.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;20.0;United-States;>50K
52.0;Private;147629.0;HS-grad;9.0;Married-civ-spouse;Transport-moving;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
50.0;Private;92079.0;Some-college;10.0;Married-civ-spouse;Tech-support;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
30.0;Federal-gov;68330.0;Bachelors;13.0;Never-married;Prof-specialty;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
37.0;Local-gov;297449.0;HS-grad;9.0;Married-civ-spouse;Protective-serv;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
54.0;Self-emp-not-inc;175804.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
48.0;Private;186172.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;45.0;United-States;>50K
42.0;Private;121264.0;Assoc-voc;11.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
37.0;Private;98941.0;Masters;14.0;Never-married;Exec-managerial;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
64.0;State-gov;194894.0;Doctorate;16.0;Never-married;Prof-specialty;Not-in-family;White;Female;4787.0;0.0;40.0;United-States;>50K
59.0;Private;361494.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
26.0;Private;31290.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
64.0;Self-emp-not-inc;150121.0;Doctorate;16.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;25.0;United-States;>50K
38.0;Private;242720.0;Masters;14.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;35.0;United-States;>50K
36.0;Private;224531.0;Bachelors;13.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;50.0;United-States;>50K
42.0;Self-emp-not-inc;157562.0;Bachelors;13.0;Married-civ-spouse;Farming-fishing;Husband;White;Male;0.0;1902.0;80.0;United-States;>50K
33.0;Private;83446.0;11th;7.0;Divorced;Exec-managerial;Unmarried;White;Female;0.0;0.0;40.0;United-States;>50K
45.0;Private;247869.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;0.0;0.0;60.0;United-States;>50K
33.0;Private;262439.0;HS-grad;9.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;0.0;35.0;United-States;>50K
59.0;Private;146391.0;Assoc-voc;11.0;Married-civ-spouse;Tech-support;Husband;White;Male;7298.0;0.0;40.0;United-States;>50K
36.0;Private;163396.0;Assoc-voc;11.0;Married-civ-spouse;Prof-specialty;Wife;White;Female;0.0;0.0;40.0;United-States;>50K
37.0;Private;205339.0;Some-college;10.0;Never-married;Tech-support;Not-in-family;White;Male;0.0;0.0;40.0;United-States;>50K
43.0;Local-gov;105862.0;Some-college;10.0;Married-civ-spouse;Adm-clerical;Wife;White;Female;0.0;1902.0;40.0;United-States;>50K
43.0;Local-gov;96102.0;Some-college;10.0;Married-civ-spouse;Protective-serv;Husband;White;Male;0.0;1887.0;40.0;United-States;>50K
44.0;Private;286750.0;Bachelors;13.0;Married-civ-spouse;Exec-managerial;Husband;Black;Male;0.0;0.0;50.0;United-States;>50K
39.0;Private;33355.0;HS-grad;9.0;Married-civ-spouse;Transport-moving;Husband;White;Male;7298.0;0.0;48.0;United-States;>50K
49.0;Self-emp-inc;362654.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;15024.0;0.0;50.0;United-States;>50K
54.0;Private;22743.0;Some-college;10.0;Married-civ-spouse;Transport-moving;Husband;White;Male;15024.0;0.0;60.0;United-States;>50K
39.0;Private;191807.0;HS-grad;9.0;Married-civ-spouse;Sales;Husband;White;Male;15024.0;0.0;50.0;United-States;>50K
64.0;State-gov;550848.0;10th;6.0;Married-civ-spouse;Exec-managerial;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
27.0;Private;35032.0;Some-college;10.0;Married-civ-spouse;Handlers-cleaners;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
32.0;Private;312667.0;Bachelors;13.0;Married-civ-spouse;Prof-specialty;Husband;White;Male;15024.0;0.0;50.0;United-States;>50K
49.0;Private;329603.0;Bachelors;13.0;Married-civ-spouse;Craft-repair;Husband;White;Male;0.0;1902.0;40.0;United-States;>50K
35.0;Self-emp-not-inc;189878.0;Masters;14.0;Married-civ-spouse;Sales;Husband;White;Male;0.0;0.0;40.0;United-States;>50K
48.0;Local-gov;31264.0;Some-college;10.0;Married-civ-spouse;Exec-managerial;Wife;White;Female;5178.0;0.0;40.0;United-States;>50K
