YEAR,DISH,DISP,FRIG,WASH
1960,555,760,3475,3274
1961,620,800,3480,3347
1962,720,890,3775,3666
1963,880,1090,4125,3949
1964,1050,1300,4545,4190
1965,1290,1355,4870,4347
1966,1528,1410,4974,4406
1967,1586,1356,4713,4323
1968,1960,1812,5150,4482
1969,2118,1943,5296,4378
1970,2116,1976,5286,4093
1971,2477,2292,5691,4608
1972,3199,2771,6315,5107
1973,3702,2974,6774,5504
1974,3320,2553,5982,4948
1975,2702,2080,4577,4228
1976,3140,2515,4817,4492
1977,3356,2941,5707,4933
1978,3558,3312,5890,5038
1979,3488,3317,5701,4965
1980,2738,2960,5124,4550
1981,2484,3179,4944,4365
1982,2170,2780,4364,4019
1983,3092,3662,5312,4615
1984,3491,4087,5994,5049
1985,3536,4107,6018,5231
