Student_ID,Age,Gender,Study_Hours_per_Week,Preferred_Learning_Style,Online_Courses_Completed,Participation_in_Discussions,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Use_of_Educational_Tech,Self_Reported_Stress_Level,Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night,Final_Grade,Parental_Education,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Access_to_Resources,Peer_Study_Group,Health_Metrics
S00001,18,Female,48,Kinesthetic,14,Yes,100,69,66,Yes,High,9,8,C,Bachelor's,57667.0,9,51,3,False,True,Poor
S00002,29,Female,30,Reading/Writing,20,No,71,40,57,Yes,Medium,28,8,D,High School,46049.0,15,172,20,False,True,Average
S00003,20,Female,47,Kinesthetic,11,No,60,43,79,Yes,Low,13,7,D,High School,22119.0,10,111,10,False,False,Average
S00004,23,Female,13,Auditory,0,Yes,63,70,60,Yes,Low,24,10,B,PhD,220969.05,21,22,20,True,False,Excellent
S00005,19,Female,24,Auditory,19,Yes,59,63,93,Yes,Medium,26,8,C,Bachelor's,52856.0,17,46,17,False,True,Average
S00006,28,Female,26,Kinesthetic,5,Yes,63,54,80,No,High,25,8,D,High School,26070.0,17,80,18,False,False,Poor
S00007,19,Female,49,Reading/Writing,13,Yes,91,44,66,Yes,Low,30,10,D,High School,21071.0,9,178,9,False,False,Excellent
S00008,27,Male,14,Reading/Writing,5,Yes,88,56,76,Yes,Low,4,6,C,Bachelor's,52172.0,21,100,24,True,True,Average
S00009,22,Male,45,Visual,16,No,52,78,70,No,Low,26,9,B,Master's,130740.04999999999,10,17,2,False,False,Excellent
S00010,28,Other,35,Auditory,7,No,100,55,100,No,Medium,5,9,C,Bachelor's,73124.0,14,38,13,True,False,Average
S00011,23,Male,40,Kinesthetic,20,No,74,44,93,No,Medium,15,10,D,High School,34236.0,12,57,14,True,False,Average
S00012,23,Male,14,Visual,18,Yes,77,56,74,No,High,9,6,C,Bachelor's,57932.0,21,75,24,True,True,Poor
S00013,23,Female,24,Visual,4,No,67,73,93,Yes,Medium,28,7,B,Master's,137557.25,17,90,14,True,True,Average
S00014,27,Male,44,Reading/Writing,20,No,80,60,51,Yes,Low,27,6,C,Bachelor's,67582.0,11,48,8,False,True,Average
S00015,22,Other,10,Reading/Writing,17,Yes,67,71,55,Yes,High,28,8,B,Master's,110629.99999999999,22,105,22,True,False,Poor
S00016,25,Female,28,Reading/Writing,13,Yes,85,90,76,Yes,Medium,5,8,A,Master's,104562.59999999999,16,47,8,True,True,Average
S00017,19,Male,11,Visual,20,Yes,81,93,93,No,Medium,6,9,A,Master's,113568.24999999999,22,103,15,True,False,Average
S00018,18,Male,8,Kinesthetic,9,Yes,52,97,69,No,Low,1,5,A,Master's,113377.34999999999,23,132,16,False,True,Poor
S00019,22,Male,11,Kinesthetic,11,No,50,74,96,Yes,Medium,13,7,B,Master's,104850.09999999999,22,83,20,True,True,Average
S00020,19,Female,28,Auditory,19,No,50,64,80,Yes,Medium,20,8,C,Bachelor's,67872.0,16,27,15,False,False,Average
S00021,19,Male,30,Reading/Writing,0,Yes,89,97,90,Yes,Low,26,10,A,Master's,119788.59999999999,15,93,5,True,True,Excellent
S00022,20,Male,48,Visual,16,Yes,81,76,82,Yes,Medium,29,9,B,PhD,220530.9,9,101,2,False,False,Average
S00023,18,Female,14,Reading/Writing,4,Yes,90,75,73,Yes,High,12,9,B,PhD,177795.75,21,43,19,True,False,Poor
S00024,25,Male,41,Reading/Writing,6,Yes,68,93,100,No,Medium,23,7,A,Master's,103733.45,12,78,0,True,True,Average
S00025,25,Female,36,Visual,3,Yes,96,83,66,Yes,Low,8,7,B,PhD,223608.3,13,144,6,True,True,Average
S00026,22,Female,38,Reading/Writing,7,Yes,91,61,50,Yes,Low,19,10,C,Bachelor's,78460.0,13,141,10,False,True,Excellent
S00027,19,Male,48,Kinesthetic,1,Yes,86,52,86,Yes,Low,30,9,D,High School,36991.0,9,97,8,False,True,Excellent
S00028,19,Male,40,Auditory,16,Yes,100,63,74,No,Medium,29,7,C,Bachelor's,57178.0,12,110,9,True,False,Average
S00029,24,Female,39,Kinesthetic,9,No,79,90,91,Yes,Medium,21,6,A,Master's,110657.59999999999,12,50,2,True,False,Average
S00030,29,Male,39,Visual,5,No,76,41,79,No,Low,20,5,D,High School,42073.0,12,68,14,False,False,Poor
S00031,20,Male,23,Kinesthetic,3,Yes,59,57,81,Yes,Medium,9,5,C,Bachelor's,54635.0,18,21,18,False,True,Poor
S00032,22,Female,6,Auditory,18,No,85,80,76,No,Medium,16,7,B,Master's,130110.99999999999,23,95,22,False,True,Average
S00033,23,Male,25,Auditory,12,Yes,55,63,85,Yes,High,14,4,C,Bachelor's,66955.0,17,30,16,True,True,Poor
S00034,25,Other,6,Visual,10,Yes,96,100,71,Yes,Medium,2,7,A,PhD,200841.74999999997,23,16,17,True,True,Average
S00035,28,Female,32,Auditory,5,No,53,54,96,Yes,High,0,10,D,High School,34672.0,15,87,15,False,False,Poor
S00036,19,Male,41,Auditory,12,Yes,57,60,67,No,Medium,15,5,C,Bachelor's,79018.0,12,31,9,True,True,Poor
S00037,26,Female,26,Kinesthetic,3,Yes,53,48,76,No,Low,19,4,D,High School,38984.0,17,41,20,False,True,Poor
S00038,20,Female,11,Visual,3,Yes,58,73,62,No,Medium,22,7,B,Master's,131415.09999999998,22,45,20,False,True,Average
S00039,21,Female,20,Kinesthetic,1,Yes,64,99,62,No,High,2,4,A,PhD,213521.65,19,123,10,True,True,Poor
S00040,24,Male,12,Visual,8,Yes,98,65,58,Yes,Medium,0,5,C,Bachelor's,79621.0,21,82,22,False,True,Poor
S00041,27,Male,41,Reading/Writing,14,No,65,56,74,Yes,Low,26,9,C,Bachelor's,75934.0,12,44,10,False,False,Excellent
S00042,28,Female,46,Kinesthetic,8,No,77,51,88,Yes,Low,23,5,D,High School,49761.0,10,52,9,False,False,Poor
S00043,25,Other,24,Auditory,19,No,90,93,54,Yes,High,17,9,A,Master's,111927.2,17,120,9,False,True,Poor
S00044,22,Female,38,Auditory,5,Yes,96,54,92,No,High,16,5,D,High School,30487.0,13,91,12,False,True,Poor
S00045,20,Female,45,Visual,9,No,78,42,58,Yes,Low,24,8,D,High School,45640.0,10,117,11,False,False,Excellent
S00046,28,Other,6,Visual,13,No,81,92,90,No,Medium,6,10,A,PhD,148598.4,23,52,19,True,False,Average
S00047,26,Female,23,Visual,10,No,94,42,65,Yes,Medium,11,6,D,High School,33994.0,18,46,22,True,False,Average
S00048,25,Male,35,Auditory,16,Yes,50,83,88,Yes,High,8,4,B,Master's,129039.2,14,17,6,True,True,Poor
S00049,19,Male,12,Kinesthetic,5,Yes,50,78,66,Yes,Low,0,8,B,Master's,136845.4,21,58,19,True,True,Excellent
S00050,25,Female,38,Kinesthetic,6,Yes,88,76,100,Yes,Low,12,9,B,Master's,110136.65,13,75,7,True,False,Excellent
S00051,19,Male,44,Auditory,17,Yes,98,44,66,Yes,High,4,4,D,High School,39853.0,11,58,12,False,False,Poor
S00052,21,Female,33,Visual,9,Yes,99,87,79,No,High,21,7,A,Master's,134834.05,14,26,6,True,True,Poor
S00053,23,Female,26,Visual,3,Yes,62,64,71,Yes,Low,10,6,C,Bachelor's,61158.0,17,97,16,False,True,Average
S00054,19,Male,47,Kinesthetic,2,No,52,44,84,Yes,Medium,11,10,D,High School,28395.0,10,57,10,False,False,Average
S00055,25,Male,39,Reading/Writing,15,Yes,88,89,63,No,Medium,5,5,A,PhD,165321.69999999998,12,112,2,True,True,Poor
S00056,23,Male,21,Visual,1,Yes,89,59,74,Yes,Medium,18,8,C,Bachelor's,54044.0,18,101,19,False,True,Average
S00057,21,Female,5,Visual,19,Yes,71,69,77,Yes,High,30,6,C,Bachelor's,75528.0,24,29,24,False,False,Poor
S00058,29,Male,19,Reading/Writing,5,No,53,85,71,No,Medium,29,9,A,PhD,141936.44999999998,19,111,13,True,True,Average
S00059,29,Female,36,Reading/Writing,17,Yes,52,46,51,Yes,Low,27,7,D,High School,22798.0,13,22,15,False,True,Average
S00060,20,Male,14,Kinesthetic,2,Yes,52,83,77,Yes,High,19,9,B,Master's,125481.09999999999,21,54,17,True,True,Poor
S00061,25,Female,41,Kinesthetic,6,Yes,59,69,53,No,Low,11,6,C,Bachelor's,55994.0,12,93,6,False,True,Average
S00062,26,Female,32,Reading/Writing,7,Yes,71,94,89,No,Low,18,10,A,PhD,140162.0,15,108,5,True,False,Excellent
S00063,18,Male,21,Kinesthetic,12,Yes,100,55,75,No,Medium,28,4,C,Bachelor's,62243.0,18,50,20,True,False,Poor
S00064,20,Female,21,Kinesthetic,10,Yes,72,44,83,Yes,Low,12,6,D,High School,31919.0,18,37,23,False,True,Average
S00065,24,Female,31,Kinesthetic,6,Yes,88,60,77,Yes,Low,11,6,C,Bachelor's,53315.0,15,116,14,False,False,Average
S00066,24,Female,9,Kinesthetic,11,No,88,95,87,No,Medium,23,5,A,PhD,192723.9,22,114,16,True,False,Poor
S00067,24,Male,12,Kinesthetic,14,No,57,57,73,Yes,Medium,4,7,C,Bachelor's,79630.0,21,80,24,False,False,Average
S00068,27,Male,42,Auditory,11,No,83,66,60,No,Medium,21,7,C,Bachelor's,71003.0,11,123,7,True,False,Average
S00069,19,Male,11,Visual,3,No,91,73,73,No,Medium,2,9,B,Master's,135586.15,22,67,20,False,False,Average
S00070,18,Female,35,Visual,2,No,96,54,96,Yes,High,5,9,D,High School,33572.0,14,75,13,True,False,Poor
S00071,22,Male,9,Reading/Writing,7,Yes,53,72,87,No,Medium,10,8,B,PhD,156226.34999999998,22,83,22,True,True,Average
S00072,20,Female,46,Visual,13,No,55,45,52,No,Medium,7,7,D,High School,45345.0,10,15,10,False,True,Average
S00073,23,Male,9,Visual,3,Yes,53,83,78,No,Low,2,8,B,Master's,103951.95,22,10,19,False,True,Excellent
S00074,19,Male,7,Auditory,12,No,79,76,72,Yes,Medium,10,5,B,Master's,101573.74999999999,23,28,22,True,False,Poor
S00075,25,Male,22,Visual,6,No,75,88,68,No,Medium,19,9,A,Master's,99900.49999999999,18,171,12,True,False,Average
S00076,29,Female,34,Auditory,3,Yes,53,47,99,No,Medium,27,6,D,High School,48711.0,14,61,16,False,True,Average
S00077,25,Female,31,Reading/Writing,11,Yes,76,80,69,Yes,Low,24,5,B,PhD,175157.65,15,124,9,True,True,Poor
S00078,23,Male,38,Kinesthetic,0,Yes,62,93,96,Yes,Medium,5,6,A,Master's,102372.99999999999,13,41,2,True,True,Average
S00079,26,Male,39,Reading/Writing,15,No,88,53,57,Yes,High,13,8,D,High School,33015.0,12,133,11,False,False,Poor
S00080,25,Female,23,Visual,5,Yes,62,76,61,Yes,High,0,6,B,Master's,136992.59999999998,18,151,14,True,False,Poor
S00081,24,Male,43,Reading/Writing,16,Yes,61,54,63,Yes,Low,23,8,D,High School,20335.0,11,139,9,True,True,Excellent
S00082,20,Female,34,Kinesthetic,18,No,76,57,61,Yes,Medium,25,5,C,Bachelor's,76412.0,14,64,13,False,True,Poor
S00083,23,Male,12,Visual,8,Yes,75,70,52,Yes,Low,10,8,B,PhD,148636.34999999998,21,178,21,True,True,Excellent
S00084,28,Female,28,Reading/Writing,0,Yes,98,99,99,Yes,Medium,1,4,A,PhD,143263.55,16,107,6,True,False,Poor
S00085,18,Male,23,Reading/Writing,0,No,89,81,70,Yes,Medium,13,9,B,Master's,137276.65,18,118,12,True,False,Average
S00086,19,Female,35,Kinesthetic,9,Yes,90,61,92,No,Medium,2,8,C,Bachelor's,72590.0,14,42,11,False,True,Average
S00087,20,Male,5,Reading/Writing,14,No,71,44,61,No,Medium,2,5,D,High School,28929.0,24,78,31,False,False,Poor
S00088,29,Female,11,Visual,4,Yes,74,59,80,No,Medium,18,4,C,Bachelor's,76450.0,22,10,24,True,True,Poor
S00089,24,Female,24,Visual,9,Yes,55,51,95,Yes,Medium,2,10,D,High School,47143.0,17,81,20,False,True,Average
S00090,19,Female,15,Reading/Writing,15,Yes,61,94,54,No,High,20,10,A,Master's,118046.34999999999,20,108,13,True,True,Poor
S00091,25,Female,40,Auditory,15,Yes,58,88,87,No,Low,28,7,A,PhD,197635.55,12,38,3,True,True,Average
S00092,27,Female,12,Reading/Writing,19,Yes,58,92,86,No,Low,26,5,A,Master's,126478.15,21,85,16,False,True,Poor
S00093,26,Male,8,Kinesthetic,17,No,63,43,72,Yes,Medium,26,4,D,High School,35131.0,23,113,30,True,False,Poor
S00094,29,Female,12,Reading/Writing,15,Yes,57,74,57,No,Medium,13,8,B,Master's,134705.25,21,127,20,True,True,Average
S00095,29,Female,22,Visual,6,No,100,61,87,Yes,Medium,19,5,C,Bachelor's,53032.0,18,49,18,False,True,Poor
S00096,19,Male,25,Visual,12,Yes,80,94,52,Yes,Low,15,10,A,PhD,211849.55,17,67,8,True,True,Excellent
S00097,26,Female,16,Auditory,9,No,81,75,75,No,Medium,19,9,B,Master's,117294.24999999999,20,60,18,True,False,Average
S00098,28,Female,39,Reading/Writing,13,No,100,100,96,Yes,Medium,15,8,A,Master's,122144.95,12,76,0,True,False,Average
