Student_ID,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate,Exam_Score,Attendance_Rate,Sleep_Hours_per_Night,Parental_Income,Extracurricular_Activities,Commute_Time,Part_Time_Job_Hours,Time_Spent_on_Social_Media,Gender,Preferred_Learning_Style,Participation_in_Discussions,Use_of_Educational_Tech,Peer_Study_Group,Self_Reported_Stress_Level,Parental_Education,Health_Metrics,Final_Grade,Letter_Grade
S00001,22,14.1,10.82,66.59,60.37,71.29,7.3,140595.4,17.78,127.2,12.9,4.77,Male,Auditory,No,Yes,False,High,Bachelors_Degree,Average,80.23,B-
S00002,23,28.5,9.63,75.66,78.32,84.41,5.3,112708.48,13.87,52.6,21.4,3.4,Male,Visual,Yes,Yes,True,Low,Associate_Degree,Poor,85.9,B
S00003,20,25.3,6.87,60.67,60.07,67.21,6.3,86351.72,11.74,122.4,15.3,5.06,Female,Visual,No,Yes,False,High,Some_College_No_Degree,Average,71.25,C-
S00004,23,26.3,12.39,77.46,71.68,78.0,6.6,108491.55,17.11,125.9,12.7,4.43,Male,Visual,Yes,Yes,False,Medium,Associate_Degree,Average,80.89,B-
S00005,22,15.1,12.52,68.73,68.45,79.1,7.7,117936.78,18.44,92.7,8.0,4.29,Male,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,84.99,B
S00006,21,32.4,13.66,78.86,76.15,88.61,6.5,102252.86,16.1,82.4,17.5,4.47,Female,Visual,Yes,Yes,True,Medium,Associate_Degree,Average,87.21,B+
S00007,21,18.1,8.62,66.97,65.6,75.8,9.1,37164.42,14.87,39.8,12.3,2.59,Male,Reading/Writing,No,No,False,High,High_School_Diploma,Excellent,77.15,C+
S00008,22,16.5,10.36,76.8,59.04,78.03,8.6,101975.99,16.21,111.7,10.9,3.46,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Excellent,84.09,B
S00009,25,23.9,7.41,86.26,78.48,95.33,7.5,134962.69,16.63,90.2,9.0,2.75,Male,Reading/Writing,Yes,Yes,False,Low,Bachelors_Degree,Average,94.32,A
S00010,24,22.0,9.96,83.77,71.66,92.22,6.7,116627.22,16.76,107.1,15.0,4.22,Female,Reading/Writing,Yes,Yes,False,Medium,Associate_Degree,Average,86.97,B
S00011,23,42.0,19.6,93.1,83.27,92.45,4.7,80763.08,14.71,44.0,12.1,4.34,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Poor,92.87,A-
S00012,24,15.3,8.27,67.57,69.52,73.57,7.6,108861.76,20.56,123.7,8.9,5.08,Female,Reading/Writing,No,Yes,False,High,Associate_Degree,Average,79.91,C+
S00013,24,34.2,12.27,85.45,80.13,88.47,5.8,55546.7,15.37,86.7,4.4,5.0,Female,Visual,Yes,Yes,True,Medium,High_School_Diploma,Poor,89.47,B+
S00014,23,12.5,10.55,71.57,62.17,72.66,8.1,127193.07,18.71,101.1,16.1,3.15,Male,Auditory,No,Yes,False,Medium,Associate_Degree,Excellent,82.76,B-
S00015,22,41.1,9.47,84.53,82.3,90.84,8.6,92259.85,11.86,79.5,7.2,3.31,Male,Kinesthetic,Yes,Yes,True,Medium,Some_College_No_Degree,Excellent,89.06,B+
S00016,19,25.2,14.87,66.86,61.52,66.3,8.8,101265.9,16.55,130.4,7.8,3.8,Male,Visual,No,Yes,False,High,Associate_Degree,Excellent,77.9,C+
S00017,26,13.3,4.41,69.27,70.91,74.16,6.0,80561.16,17.26,119.8,15.8,4.03,Male,Auditory,No,Yes,False,Medium,Some_College_No_Degree,Average,79.75,C+
S00018,24,20.4,9.93,79.51,74.61,86.78,8.4,145469.73,17.02,85.2,17.4,2.98,Female,Reading/Writing,Yes,Yes,False,Medium,Bachelors_Degree,Excellent,88.26,B+
S00019,20,35.6,12.77,86.3,70.06,85.0,7.4,67139.45,15.73,54.6,8.4,3.59,Male,Kinesthetic,Yes,Yes,True,Medium,High_School_Diploma,Average,86.72,B
