ID,duration,wage-inc-1st,wage-inc-2nd,wage-inc-3rd,col-adj,working-hours,pension,standby-pay,shift-differential,education-allowance,statutory-holidays,vacation,longterm-disability-assistance,contrib-to-dental-plan,bereavement-assistance,contrib-to-health-plan,rating,class
0,1,5,,,,40,,,2,,11,average,,,yes,,3.5,good
1,2,4.5,5.8,,,35,ret_allw,,,yes,11,below-average,,full,,full,5,good
2,,,,,,38,empl_contr,,5,,11,generous,yes,half,yes,half,4,good
3,3,3.7,4,5,tc,,,,,yes,,,,,yes,,3.5,good
4,3,4.5,4.5,5,,40,,,,,12,average,,half,yes,half,5,good
5,2,2,2.5,,,35,,,6,yes,12,average,,,,,5,good
6,3,4,5,5,tc,,empl_contr,,,,12,generous,yes,none,yes,half,4,good
7,3,6.9,4.8,2.3,,40,,,3,,12,below-average,,,,,4.5,good
8,2,3,7,,,38,,12,25,yes,11,below-average,yes,half,yes,,4.5,good
9,1,5.7,,,none,40,empl_contr,,4,,11,generous,yes,full,,,3.5,good
10,3,3.5,4,4.6,none,36,,,3,,13,generous,,,yes,full,3.5,good
11,2,6.4,6.4,,,38,,,4,,15,,,full,,,4,good
12,2,3.5,4,,none,40,,,2,no,10,below-average,no,half,,half,3,bad
13,3,3.5,4,5.1,tcf,37,,,4,,13,generous,,full,yes,full,4.5,good
14,1,3,,,none,36,,,10,no,11,generous,,,,,5,good
15,2,4.5,4,,none,37,empl_contr,,,,11,average,,full,yes,,5,good
16,1,2.8,,,,35,,,2,,12,below-average,,,,,4,good
17,1,2.1,,,tc,40,ret_allw,2,3,no,9,below-average,yes,half,,none,2.5,bad
18,1,2,,,none,38,none,,,yes,11,average,no,none,no,none,3,bad
19,2,4,5,,tcf,35,,13,5,,15,generous,,,,,4.5,good
20,2,4.3,4.4,,,38,,,4,,12,generous,,full,,full,4.5,good
21,2,2.5,3,,,40,none,,,,11,below-average,,,,,2,bad
22,3,3.5,4,4.6,tcf,27,,,,,,,,,,,4,good
23,2,4.5,4,,,40,,,4,,10,generous,,half,,full,5,good
24,1,6,,,,38,,8,3,,9,generous,,,,,5,good
25,3,2,2,2,none,40,none,,,,10,below-average,,half,yes,full,2.5,bad
26,2,4.5,4.5,,tcf,,,,,yes,10,below-average,yes,none,,half,4.5,good
27,2,3,3,,none,33,,,,yes,12,generous,,,yes,full,4,good
28,2,5,4,,none,37,,,5,no,11,below-average,yes,full,yes,full,4,good
29,3,2,2.5,,,35,none,,,,10,average,,,yes,full,3,bad
30,3,4.5,4.5,5,none,40,,,,no,11,average,,half,,,3.5,good
31,3,3,2,2.5,tc,40,none,,5,no,10,below-average,yes,half,yes,full,3,bad
32,2,2.5,2.5,,,38,empl_contr,,,,10,average,,,,,3,bad
33,2,4,5,,none,40,none,,3,no,10,below-average,no,none,,none,2.5,bad
34,3,2,2.5,2.1,tc,40,none,2,1,no,10,below-average,no,half,yes,full,2,bad
35,2,2,2,,none,40,none,,,no,11,average,yes,none,yes,full,2.5,bad
36,1,2,,,tc,40,ret_allw,4,0,no,11,generous,no,none,no,none,1,bad
37,1,2.8,,,none,38,empl_contr,2,3,no,9,below-average,yes,half,,none,2.5,bad
38,3,2,2.5,2,,37,empl_contr,,,,10,average,,,yes,none,2.5,bad
39,2,4.5,4,,none,40,,,4,,12,average,yes,full,yes,half,4,good
