Gender,Height,Weight,Index
Male,174,96,overweight
Male,189,87,normal
Female,185,110,overweight
Female,195,104,overweight
Male,149,61,overweight
Male,189,104,overweight
Male,147,92,overweight
Male,154,111,overweight
Male,174,90,overweight
Female,169,103,overweight
Male,195,81,normal
Female,159,80,overweight
Female,192,101,overweight
Male,155,51,normal
Male,191,79,normal
Female,153,107,overweight
Female,157,110,overweight
Male,140,129,overweight
Male,144,145,overweight
Male,172,139,overweight
Male,157,110,overweight
Female,153,149,overweight
Female,169,97,overweight
Male,185,139,overweight
Female,172,67,normal
Female,151,64,overweight
Male,190,95,overweight
Male,187,62,underweight
Female,163,159,overweight
Male,179,152,overweight
Male,153,121,overweight
Male,178,52,underweight
Female,195,65,underweight
Female,160,131,overweight
Female,157,153,overweight
Female,189,132,overweight
Female,197,114,overweight
Male,144,80,overweight
Female,171,152,overweight
Female,185,81,normal
Female,175,120,overweight
Female,149,108,overweight
Male,157,56,normal
Male,161,118,overweight
Female,182,126,overweight
Male,185,76,normal
Female,188,122,overweight
Male,181,111,overweight
Male,161,72,overweight
Male,140,152,overweight
Female,168,135,overweight
Female,176,54,underweight
Male,163,110,overweight
Male,172,105,overweight
Male,196,116,overweight
Female,187,89,overweight
Male,172,92,overweight
Male,178,127,overweight
Female,164,70,overweight
Male,143,88,overweight
Female,191,54,underweight
Female,141,143,overweight
Male,193,54,underweight
Male,190,83,normal
Male,175,135,overweight
Female,179,158,overweight
Female,172,96,overweight
Female,168,59,normal
Female,164,82,overweight
Female,194,136,overweight
Female,153,51,normal
Male,178,117,overweight
Male,141,80,overweight
Male,180,75,normal
Female,185,100,overweight
Female,197,154,overweight
Male,165,104,overweight
Female,168,90,overweight
Female,176,122,overweight
Male,181,51,underweight
Male,164,75,overweight
Female,166,140,overweight
Female,190,105,overweight
Male,186,118,overweight
Male,168,123,overweight
Male,198,50,underweight
Female,175,141,overweight
Male,145,117,overweight
Female,159,104,overweight
Female,185,140,overweight
Female,178,154,overweight
Female,183,96,overweight
Female,194,111,overweight
Male,177,61,normal
Male,197,119,overweight
Female,170,156,overweight
Male,142,69,overweight
Male,160,139,overweight
Male,195,69,underweight
Female,190,50,underweight
Male,199,156,overweight
Male,154,105,overweight
Male,161,155,overweight
Female,198,145,overweight
Female,192,140,overweight
Male,195,126,overweight
Male,166,160,overweight
Male,159,154,overweight
Female,181,106,overweight
Male,149,66,overweight
Female,150,70,overweight
Female,146,157,overweight
Male,190,135,overweight
Female,192,90,normal
Female,177,96,overweight
Male,148,60,overweight
Female,165,57,normal
Female,146,104,overweight
Male,144,108,overweight
Female,176,156,overweight
Female,168,87,overweight
Male,187,122,overweight
Male,187,138,overweight
Female,184,160,overweight
Female,158,149,overweight
Male,158,96,overweight
Male,194,115,overweight
Female,145,79,overweight
Male,182,151,overweight
Male,154,54,normal
Female,168,139,overweight
Female,187,70,normal
Female,158,153,overweight
Female,167,110,overweight
Female,171,155,overweight
Female,183,150,overweight
Female,190,156,overweight
Male,194,108,overweight
Male,171,147,overweight
Male,159,124,overweight
Female,169,54,normal
Female,167,85,overweight
Male,180,149,overweight
Male,163,123,overweight
Male,140,79,overweight
Male,197,125,overweight
Male,194,106,overweight
Female,140,146,overweight
Male,195,98,overweight
Female,168,115,overweight
Female,196,50,underweight
Male,140,52,overweight
Female,150,60,overweight
Female,168,140,overweight
Female,155,111,overweight
Female,179,103,overweight
Female,182,84,overweight
Male,168,160,overweight
Female,187,102,overweight
Male,181,105,overweight
Male,199,99,normal
Female,184,76,normal
Male,192,101,overweight
Female,182,143,overweight
Female,172,111,overweight
Male,181,78,normal
Male,176,109,overweight
Female,156,106,overweight
Female,151,67,overweight
Female,188,80,normal
Male,187,136,overweight
Male,174,138,overweight
Male,167,151,overweight
Female,196,131,overweight
Male,197,149,overweight
Female,185,119,overweight
Female,170,102,overweight
Female,181,94,overweight
Female,166,126,overweight
Male,188,100,overweight
Female,162,74,overweight
Male,177,117,overweight
Male,162,97,overweight
Male,180,73,normal
Female,192,108,overweight
Male,165,80,overweight
Female,167,135,overweight
Female,182,84,overweight
Female,161,134,overweight
Male,158,95,overweight
Male,141,85,overweight
Male,154,100,overweight
Male,165,105,overweight
Female,142,137,overweight
Male,141,94,overweight
Male,145,108,overweight
Male,157,74,overweight
Female,177,117,overweight
Female,166,144,overweight
Male,193,151,overweight
Male,184,57,underweight
Male,179,93,overweight
Female,156,89,overweight
Male,182,104,overweight
Male,145,160,overweight
Female,150,87,overweight
Male,145,99,overweight
Female,196,122,overweight
Male,191,96,overweight
Female,148,67,overweight
Female,150,84,overweight
Male,148,155,overweight
Female,153,146,overweight
Female,196,159,overweight
Female,185,52,underweight
Female,171,131,overweight
Female,143,118,overweight
Female,142,86,overweight
Female,141,126,overweight
Male,159,109,overweight
Female,173,82,normal
Male,183,138,overweight
Female,152,90,overweight
Male,178,140,overweight
Male,188,54,underweight
Female,155,144,overweight
Male,166,70,overweight
Male,188,123,overweight
Female,171,120,overweight
Male,179,130,overweight
Female,186,137,overweight
Female,153,78,normal
Female,184,86,overweight
Female,177,81,overweight
Male,145,78,overweight
Male,170,81,overweight
Male,181,141,overweight
Male,165,155,overweight
Female,174,65,normal
Female,146,110,overweight
Male,178,85,overweight
Male,166,61,normal
Male,191,62,underweight
Female,177,155,overweight
Female,183,50,underweight
Male,151,114,overweight
Male,182,98,overweight
Female,142,159,overweight
Female,188,90,overweight
Male,161,89,overweight
Male,153,70,overweight
Male,140,143,overweight
Male,169,141,overweight
Female,162,159,overweight
