"Pre-campaign expenditure","Pre-campaign visits","Pre-campaign spend category","Pre-campaign visits category","Total number of visits","Total spend","Post Code","52 Mosaic Groups","Mosaic Bands","Title","Gender","Year Of Birth","Age","Age category","Response to campaign"
56.0,2.0,"£50-£100","2 Visits",2.0,56.0,"SE27 0QE",40.0,9.0,"MISS","Female",1975.0,19.0,"18-25 years","Non-responder"
60.0,1.0,"£50-£100","1 Visit",1.0,60.0,"DN16 3TA",11.0,3.0,"MISS","Female",1974.0,20.0,"18-25 years","Non-responder"
70.0,5.0,"£50-£100","5 Or More Visits",5.0,70.0,"WV12 5LB",13.0,4.0,"MR","Male",1974.0,20.0,"18-25 years","Non-responder"
68.0,3.0,"£50-£100","3 Visits",3.0,68.0,"DN 1 2SL",29.0,6.0,"MR","Male",1974.0,20.0,"18-25 years","Non-responder"
75.0,4.0,"£50-£100","4 Visits",4.0,75.0,"NG 5 5PN",16.0,4.0,"MISS","Female",1973.0,21.0,"18-25 years","Non-responder"
95.0,4.0,"£50-£100","4 Visits",5.0,128.0,"LE 9 5TL",9.0,3.0,"MR","Male",1973.0,21.0,"18-25 years","Responder"
61.0,4.0,"£50-£100","4 Visits",6.0,78.0,"ST16 3BE",22.0,5.0,"MR","Male",1973.0,21.0,"18-25 years","Responder"
77.0,5.0,"£50-£100","5 Or More Visits",5.0,77.0,"TR 1 1LJ",8.0,2.0,"MR","Male",1973.0,21.0,"18-25 years","Non-responder"
98.0,1.0,"£50-£100","1 Visit",1.0,98.0,"IP32 6DL",13.0,4.0,"MR","Male",1973.0,21.0,"18-25 years","Non-responder"
59.0,1.0,"£50-£100","1 Visit",1.0,59.0,"DN21 1BH",29.0,6.0,"MR","Male",1973.0,21.0,"18-25 years","Non-responder"
50.0,1.0,"£50-£100","1 Visit",1.0,50.0,"WA 7 5QX",12.0,3.0,"MR","Male",1973.0,21.0,"18-25 years","Non-responder"
63.0,1.0,"£50-£100","1 Visit",1.0,63.0,"NW 4 1QT",1.0,1.0,"MR","Male",1973.0,21.0,"18-25 years","Non-responder"
35.0,1.0,"Under £50","1 Visit",5.0,110.0,"SS 2 4EN",31.0,7.0,"MISS","Female",1972.0,22.0,"18-25 years","Responder"
59.0,1.0,"£50-£100","1 Visit",1.0,59.0,"NW 9 5JT",24.0,6.0,"MISS","Female",1972.0,22.0,"18-25 years","Non-responder"
