"Pre-campaign expenditure";"Pre-campaign visits";"Total number of visits";"Total spend";"52 Mosaic Groups";"Mosaic Bands";"Year Of Birth";"Age";"Response to campaign"
56.0;2.0;2.0;56.0;40.0;9.0;1975.0;19.0;"Non-responder"
60.0;1.0;1.0;60.0;11.0;3.0;1974.0;20.0;"Non-responder"
70.0;5.0;5.0;70.0;13.0;4.0;1974.0;20.0;"Non-responder"
68.0;3.0;3.0;68.0;29.0;6.0;1974.0;20.0;"Non-responder"
75.0;4.0;4.0;75.0;16.0;4.0;1973.0;21.0;"Non-responder"
95.0;4.0;5.0;128.0;9.0;3.0;1973.0;21.0;"Responder"
61.0;4.0;6.0;78.0;22.0;5.0;1973.0;21.0;"Responder"
77.0;5.0;5.0;77.0;8.0;2.0;1973.0;21.0;"Non-responder"
98.0;1.0;1.0;98.0;13.0;4.0;1973.0;21.0;"Non-responder"
59.0;1.0;1.0;59.0;29.0;6.0;1973.0;21.0;"Non-responder"
50.0;1.0;1.0;50.0;12.0;3.0;1973.0;21.0;"Non-responder"
63.0;1.0;1.0;63.0;1.0;1.0;1973.0;21.0;"Non-responder"
35.0;1.0;5.0;110.0;31.0;7.0;1972.0;22.0;"Responder"
59.0;1.0;1.0;59.0;24.0;6.0;1972.0;22.0;"Non-responder"
70.0;7.0;7.0;70.0;16.0;4.0;1972.0;22.0;"Non-responder"
68.0;2.0;2.0;68.0;9.0;3.0;1972.0;22.0;"Non-responder"
61.0;1.0;1.0;61.0;12.0;3.0;1972.0;22.0;"Non-responder"
66.0;3.0;3.0;66.0;30.0;7.0;1972.0;22.0;"Non-responder"
52.0;1.0;1.0;52.0;41.0;10.0;1972.0;22.0;"Non-responder"
88.0;4.0;4.0;88.0;17.0;4.0;1972.0;22.0;"Non-responder"
45.0;2.0;3.0;58.0;16.0;4.0;1972.0;22.0;"Responder"
83.0;12.0;14.0;105.0;11.0;3.0;1972.0;22.0;"Responder"
65.0;1.0;1.0;65.0;6.0;2.0;1972.0;22.0;"Non-responder"
79.0;1.0;1.0;79.0;11.0;3.0;1972.0;22.0;"Non-responder"
