Year,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
1966,41,39,50,40,43,38,44,35,39,35,29,49
1967,50,59,63,32,39,47,53,60,57,52,70,90
1968,74,62,55,84,94,70,108,139,120,97,126,149
1969,158,124,140,109,114,77,120,133,110,92,97,78
1970,99,107,112,90,98,125,155,190,236,189,174,178
1971,136,161,171,149,184,155,276,224,213,279,268,287
1972,238,213,257,293,212,246,353,339,308,247,257,322
1973,298,273,312,249,286,279,309,401,309,328,353,354
1974,327,324,285,243,241,287,355,460,364,487,452,391
1975,500,451,375,372,302,316,398,394,431,431,0,0
