corpus,relation_type,frames,documents,sources,mean_frame_quality
policy,causes_or_increases,915,49,49,0.7317608695493818
policy,enables_or_supports,1447,50,50,0.6983697806574181
policy,expected_to_improve,290,42,42,0.6761130120974066
policy,reduces_or_prevents,179,39,39,0.7206350470616536
policy,requires_or_depends_on,251,40,40,0.6800969654212795
policy,risks_or_threatens,114,31,31,0.7211602889949891
sentiment,causes_or_increases,267,14,14,0.7508984009957942
sentiment,enables_or_supports,239,15,15,0.7095328550619239
sentiment,expected_to_improve,45,11,11,0.7342628083049189
sentiment,reduces_or_prevents,33,10,10,0.7621019995939831
sentiment,requires_or_depends_on,53,12,12,0.7241962255112097
sentiment,risks_or_threatens,18,6,6,0.7406795028616544
synthetic_sentiment,causes_or_increases,214,49,49,0.7108176399629784
synthetic_sentiment,enables_or_supports,116,45,45,0.7262349062442162
synthetic_sentiment,expected_to_improve,25,19,19,0.724595093876172
synthetic_sentiment,reduces_or_prevents,12,10,10,0.7855856042988396
synthetic_sentiment,requires_or_depends_on,290,33,33,0.47909203126301997
synthetic_sentiment,risks_or_threatens,17,8,8,0.7341977860427822
