country,topic,cause_gap_contribution,effect_gap_contribution,relation_gap_magnitude,topic_code
france,0,0.06278119147317208,0.06557339263557073,0.12835458410874281,P0
france,1,0.022049495082880066,0.14195678162323472,0.16400627670611478,P1
france,2,0.6916906616746276,0.9600608279381677,1.6517514896127952,P2
france,3,0.06059853465765882,0.045014394022792746,0.10561292868045156,P3
france,4,0.09918003842869744,0.06805212383541939,0.16723216226411683,P4
france,5,0.2067824546468275,0.20828176955565042,0.4150642242024779,P5
france,6,0.12721607199990526,0.12585745802648501,0.25307353002639027,P6
france,7,0.0463264607103975,0.09175990330798471,0.1380863640183822,P7
france,8,0.6364259606404681,0.24649421836932883,0.8829201790097969,P8
ireland,0,0.17558887648506247,0.22133185647485343,0.3969207329599159,P0
ireland,1,0.16420728215436806,0.18277885974912042,0.3469861419034885,P1
ireland,2,0.22127424830761258,0.10591511831061727,0.32718936661822984,P2
ireland,3,0.07075150567737391,0.03783448600912367,0.10858599168649757,P3
ireland,4,0.07343374826709959,0.08758051962537451,0.16101426789247408,P4
ireland,5,0.19163405335072203,0.20468310128271316,0.3963171546334352,P5
ireland,6,0.1489834822188566,0.20398397944030625,0.3529674616591628,P6
ireland,7,0.2294988888345261,0.30955744168266797,0.539056330517194,P7
ireland,8,0.19422051630358966,0.11592723902443429,0.31014775532802397,P8
other,0,0.1867885094564638,0.14479907815075493,0.33158758760721874,P0
other,1,0.12197196810151398,0.18895213077589582,0.3109240988774098,P1
other,2,0.05903365050524402,0.04576756209378857,0.10480121259903259,P2
other,3,0.39848773413498206,0.39445849610673894,0.792946230241721,P3
other,4,0.14964317933746948,0.12573046744669011,0.2753736467841596,P4
other,5,0.12290673435797628,0.15873947023230778,0.28164620459028405,P5
other,6,0.16473202532946626,0.16624415070290097,0.33097617603236723,P6
other,7,0.11210810938366658,0.12441358821175606,0.23652169759542263,P7
other,8,0.11574877921549732,0.08231574610144661,0.19806452531694393,P8
