cause_topic,relation_type,effect_topic,policy_share,sentiment_share,signed_gap,absolute_gap,country
0,causes_or_increases,0,0.001995081358232042,0.0,0.001995081358232042,0.001995081358232042,france
0,causes_or_increases,1,0.001342560860000351,0.0,0.001342560860000351,0.001342560860000351,france
0,causes_or_increases,2,0.004138017059031914,0.0,0.004138017059031914,0.004138017059031914,france
0,causes_or_increases,3,0.001951106923788816,0.0,0.001951106923788816,0.001951106923788816,france
0,causes_or_increases,4,0.0,0.0,0.0,0.0,france
0,causes_or_increases,5,0.0,0.0,0.0,0.0,france
0,causes_or_increases,6,0.005516472255728735,0.0,0.005516472255728735,0.005516472255728735,france
0,causes_or_increases,7,0.0012148498488551967,0.0,0.0012148498488551967,0.0012148498488551967,france
0,causes_or_increases,8,0.0066662744501316115,0.0,0.0066662744501316115,0.0066662744501316115,france
0,enables_or_supports,0,0.0023916713000139596,0.0,0.0023916713000139596,0.0023916713000139596,france
0,enables_or_supports,1,0.0,0.0,0.0,0.0,france
0,enables_or_supports,2,0.005814068421877311,0.0,0.005814068421877311,0.005814068421877311,france
0,enables_or_supports,3,0.0013916195117689393,0.0,0.0013916195117689393,0.0013916195117689393,france
0,enables_or_supports,4,0.0,0.0,0.0,0.0,france
0,enables_or_supports,5,0.0,0.0,0.0,0.0,france
0,enables_or_supports,6,0.009803411730876717,0.0,0.009803411730876717,0.009803411730876717,france
0,enables_or_supports,7,0.0016003632508435485,0.0,0.0016003632508435485,0.0016003632508435485,france
0,enables_or_supports,8,0.002989195411835553,0.0,0.002989195411835553,0.002989195411835553,france
0,expected_to_improve,0,0.0010819287763644983,0.0,0.0010819287763644983,0.0010819287763644983,france
0,expected_to_improve,1,0.0,0.0,0.0,0.0,france
0,expected_to_improve,2,0.0,0.0,0.0,0.0,france
0,expected_to_improve,3,0.0,0.0,0.0,0.0,france
0,expected_to_improve,4,0.0,0.0,0.0,0.0,france
0,expected_to_improve,5,0.0,0.0,0.0,0.0,france
0,expected_to_improve,6,0.0,0.0,0.0,0.0,france
0,expected_to_improve,7,0.0,0.0,0.0,0.0,france
0,expected_to_improve,8,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,0,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,1,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,2,0.007709618039135693,0.0,0.007709618039135693,0.007709618039135693,france
0,reduces_or_prevents,3,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,4,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,5,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,6,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,7,0.0,0.0,0.0,0.0,france
0,reduces_or_prevents,8,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,0,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,1,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,2,0.006428116113949205,0.0,0.006428116113949205,0.006428116113949205,france
0,requires_or_depends_on,3,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,4,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,5,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,6,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,7,0.0,0.0,0.0,0.0,france
0,requires_or_depends_on,8,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,0,0.0007468361607379943,0.0,0.0007468361607379943,0.0007468361607379943,france
0,risks_or_threatens,1,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,2,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,3,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,4,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,5,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,6,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,7,0.0,0.0,0.0,0.0,france
0,risks_or_threatens,8,0.0,0.0,0.0,0.0,france
1,causes_or_increases,0,0.0,0.0,0.0,0.0,france
1,causes_or_increases,1,0.0,0.0,0.0,0.0,france
1,causes_or_increases,2,0.0,0.0,0.0,0.0,france
1,causes_or_increases,3,0.0,0.0,0.0,0.0,france
1,causes_or_increases,4,0.0,0.0,0.0,0.0,france
1,causes_or_increases,5,0.0,0.007251943160859323,-0.007251943160859323,0.007251943160859323,france
1,causes_or_increases,6,0.0021422641567217884,0.0,0.0021422641567217884,0.0021422641567217884,france
1,causes_or_increases,7,0.0,0.0,0.0,0.0,france
1,causes_or_increases,8,0.001679889790548567,0.0,0.001679889790548567,0.001679889790548567,france
1,enables_or_supports,0,0.0,0.0,0.0,0.0,france
1,enables_or_supports,1,0.0,0.0,0.0,0.0,france
1,enables_or_supports,2,0.0,0.0,0.0,0.0,france
1,enables_or_supports,3,0.0,0.0,0.0,0.0,france
1,enables_or_supports,4,0.0,0.0,0.0,0.0,france
1,enables_or_supports,5,0.0,0.0,0.0,0.0,france
1,enables_or_supports,6,0.0,0.0,0.0,0.0,france
1,enables_or_supports,7,0.0,0.0,0.0,0.0,france
1,enables_or_supports,8,0.0,0.0,0.0,0.0,france
1,expected_to_improve,0,0.0,0.0,0.0,0.0,france
1,expected_to_improve,1,0.0,0.0,0.0,0.0,france
1,expected_to_improve,2,0.0,0.0,0.0,0.0,france
1,expected_to_improve,3,0.0011655808720852207,0.0,0.0011655808720852207,0.0011655808720852207,france
1,expected_to_improve,4,0.0,0.0,0.0,0.0,france
1,expected_to_improve,5,0.0,0.0,0.0,0.0,france
1,expected_to_improve,6,0.0,0.0,0.0,0.0,france
1,expected_to_improve,7,0.0,0.0,0.0,0.0,france
1,expected_to_improve,8,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,0,0.005529813688980571,0.0,0.005529813688980571,0.005529813688980571,france
1,reduces_or_prevents,1,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,2,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,3,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,4,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,5,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,6,0.001497509447414195,0.0,0.001497509447414195,0.001497509447414195,france
1,reduces_or_prevents,7,0.0,0.0,0.0,0.0,france
1,reduces_or_prevents,8,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,0,0.0012435058641891328,0.0,0.0012435058641891328,0.0012435058641891328,france
1,requires_or_depends_on,1,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,2,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,3,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,4,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,5,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,6,0.001538988102081268,0.0,0.001538988102081268,0.001538988102081268,france
1,requires_or_depends_on,7,0.0,0.0,0.0,0.0,france
1,requires_or_depends_on,8,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,0,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,1,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,2,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,3,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,4,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,5,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,6,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,7,0.0,0.0,0.0,0.0,france
1,risks_or_threatens,8,0.0,0.0,0.0,0.0,france
2,causes_or_increases,0,0.0,0.0,0.0,0.0,france
2,causes_or_increases,1,0.0,0.0,0.0,0.0,france
2,causes_or_increases,2,0.05899867123560174,0.0,0.05899867123560174,0.05899867123560174,france
2,causes_or_increases,3,0.0,0.0,0.0,0.0,france
2,causes_or_increases,4,0.0,0.0,0.0,0.0,france
2,causes_or_increases,5,0.0015082416068040924,0.0,0.0015082416068040924,0.0015082416068040924,france
2,causes_or_increases,6,0.007826188663708272,0.0,0.007826188663708272,0.007826188663708272,france
2,causes_or_increases,7,0.0017934100092752365,0.0,0.0017934100092752365,0.0017934100092752365,france
2,causes_or_increases,8,0.009466719732523329,0.0,0.009466719732523329,0.009466719732523329,france
2,enables_or_supports,0,0.018167173296249683,0.0,0.018167173296249683,0.018167173296249683,france
2,enables_or_supports,1,0.0,0.09666522316580542,-0.09666522316580542,0.09666522316580542,france
2,enables_or_supports,2,0.12556572566822216,0.0,0.12556572566822216,0.12556572566822216,france
2,enables_or_supports,3,0.0,0.0,0.0,0.0,france
2,enables_or_supports,4,0.0,0.0,0.0,0.0,france
2,enables_or_supports,5,0.0,0.0,0.0,0.0,france
2,enables_or_supports,6,0.007151738525355844,0.0,0.007151738525355844,0.007151738525355844,france
2,enables_or_supports,7,0.005146111583734356,0.0,0.005146111583734356,0.005146111583734356,france
2,enables_or_supports,8,0.0,0.0,0.0,0.0,france
2,expected_to_improve,0,0.0,0.0,0.0,0.0,france
2,expected_to_improve,1,0.0,0.0,0.0,0.0,france
2,expected_to_improve,2,0.013298526755095965,0.0,0.013298526755095965,0.013298526755095965,france
2,expected_to_improve,3,0.0,0.0,0.0,0.0,france
2,expected_to_improve,4,0.0,0.0,0.0,0.0,france
2,expected_to_improve,5,0.0,0.0,0.0,0.0,france
2,expected_to_improve,6,0.0,0.0,0.0,0.0,france
2,expected_to_improve,7,0.006366942394981961,0.0,0.006366942394981961,0.006366942394981961,france
2,expected_to_improve,8,0.007620762364063005,0.0,0.007620762364063005,0.007620762364063005,france
2,reduces_or_prevents,0,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,1,0.0015746875965601292,0.0,0.0015746875965601292,0.0015746875965601292,france
2,reduces_or_prevents,2,0.04171662829655574,0.0,0.04171662829655574,0.04171662829655574,france
2,reduces_or_prevents,3,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,4,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,5,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,6,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,7,0.0,0.0,0.0,0.0,france
2,reduces_or_prevents,8,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,0,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,1,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,2,0.2662450313331377,0.0,0.2662450313331377,0.2662450313331377,france
2,requires_or_depends_on,3,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,4,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,5,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,6,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,7,0.0,0.0,0.0,0.0,france
2,requires_or_depends_on,8,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,0,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,1,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,2,0.012154175686924949,0.0,0.012154175686924949,0.012154175686924949,france
2,risks_or_threatens,3,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,4,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,5,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,6,0.0023519131514791007,0.0,0.0023519131514791007,0.0023519131514791007,france
2,risks_or_threatens,7,0.0,0.0,0.0,0.0,france
2,risks_or_threatens,8,0.008072790608548841,0.0,0.008072790608548841,0.008072790608548841,france
3,causes_or_increases,0,0.0,0.0,0.0,0.0,france
3,causes_or_increases,1,0.0,0.0,0.0,0.0,france
3,causes_or_increases,2,0.0,0.0,0.0,0.0,france
3,causes_or_increases,3,0.00391567690827465,0.0,0.00391567690827465,0.00391567690827465,france
3,causes_or_increases,4,0.0,0.0,0.0,0.0,france
3,causes_or_increases,5,0.0,0.0,0.0,0.0,france
3,causes_or_increases,6,0.0020838250566067237,0.0,0.0020838250566067237,0.0020838250566067237,france
3,causes_or_increases,7,0.0,0.0,0.0,0.0,france
3,causes_or_increases,8,0.0,0.0,0.0,0.0,france
3,enables_or_supports,0,0.001496501670041147,0.0,0.001496501670041147,0.001496501670041147,france
3,enables_or_supports,1,0.0,0.0,0.0,0.0,france
3,enables_or_supports,2,0.0,0.0,0.0,0.0,france
3,enables_or_supports,3,0.0,0.02102061193236923,-0.02102061193236923,0.02102061193236923,france
3,enables_or_supports,4,0.0,0.0,0.0,0.0,france
3,enables_or_supports,5,0.0020360527445538786,0.013951043422759185,-0.011914990678205306,0.011914990678205306,france
3,enables_or_supports,6,0.005971350273720894,0.0,0.005971350273720894,0.005971350273720894,france
3,enables_or_supports,7,0.0,0.0,0.0,0.0,france
3,enables_or_supports,8,0.003918557998106314,0.0,0.003918557998106314,0.003918557998106314,france
3,expected_to_improve,0,0.0,0.0,0.0,0.0,france
3,expected_to_improve,1,0.0,0.0,0.0,0.0,france
3,expected_to_improve,2,0.0,0.0,0.0,0.0,france
3,expected_to_improve,3,0.0008790761349819774,0.0,0.0008790761349819774,0.0008790761349819774,france
3,expected_to_improve,4,0.0,0.0,0.0,0.0,france
3,expected_to_improve,5,0.0,0.0,0.0,0.0,france
3,expected_to_improve,6,0.0,0.0,0.0,0.0,france
3,expected_to_improve,7,0.0,0.0,0.0,0.0,france
3,expected_to_improve,8,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,0,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,1,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,2,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,3,0.0005137103255363046,0.0,0.0005137103255363046,0.0005137103255363046,france
3,reduces_or_prevents,4,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,5,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,6,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,7,0.0,0.0,0.0,0.0,france
3,reduces_or_prevents,8,0.0,0.0,0.0,0.0,france
3,requires_or_depends_on,0,0.0,0.0,0.0,0.0,france
3,requires_or_depends_on,1,0.0,0.0,0.0,0.0,france
3,requires_or_depends_on,2,0.004879880742955731,0.0,0.004879880742955731,0.004879880742955731,france
