corpus_type,cause_topic,relation_type,effect_topic,frames,unique_documents,unique_sources,mean_frame_quality,mean_analysis_weight
policy,0,causes_or_increases,0,90,26,26,0.7300525595150499,0.005786300899568482
policy,0,causes_or_increases,1,4,4,4,0.7024047619047619,0.002264536805193975
policy,0,causes_or_increases,2,3,3,3,0.7328839562140645,0.007057164987830881
policy,0,causes_or_increases,3,7,5,5,0.7405102768380079,0.002313820810711912
policy,0,causes_or_increases,4,13,7,7,0.7686506129507802,0.0020373303558679687
policy,0,causes_or_increases,5,17,11,11,0.7456579974282471,0.004265598504960521
policy,0,causes_or_increases,6,22,17,17,0.7190864880866615,0.011912224349481464
policy,0,causes_or_increases,7,13,11,11,0.7401271218659882,0.0034378553481261265
policy,0,causes_or_increases,8,17,10,10,0.7130307410755954,0.002725947153764861
policy,0,enables_or_supports,0,81,25,25,0.692541982370524,0.0044135520259556815
policy,0,enables_or_supports,1,10,9,9,0.6313011618735207,0.004753494049524226
policy,0,enables_or_supports,2,7,6,6,0.7470285043464024,0.008008893060339329
policy,0,enables_or_supports,3,15,8,8,0.6837189444957172,0.0027036187348297163
policy,0,enables_or_supports,4,25,16,16,0.6746657172827172,0.007966506090852145
policy,0,enables_or_supports,5,38,20,20,0.6751578739519107,0.004719271799406074
policy,0,enables_or_supports,6,21,12,12,0.6434524983458806,0.004259625292849616
policy,0,enables_or_supports,7,38,18,18,0.6948679174267606,0.006062903471228152
policy,0,enables_or_supports,8,11,8,8,0.7465309030690047,0.0025938049143439416
policy,0,expected_to_improve,0,10,8,8,0.6247344078800556,0.03766761578708434
policy,0,expected_to_improve,2,3,3,3,0.6548886548636549,0.0055542354126405305
policy,0,expected_to_improve,3,1,1,1,0.5102857142857142,0.0011189252376059898
policy,0,expected_to_improve,4,6,6,6,0.6962965858807291,0.006704140403557042
policy,0,expected_to_improve,5,11,7,7,0.603390520753756,0.0034915261644689038
policy,0,expected_to_improve,6,3,3,3,0.6843690476190476,0.003377799164893813
policy,0,expected_to_improve,7,9,7,7,0.663815831499655,0.004390346980796737
policy,0,expected_to_improve,8,2,1,1,0.779843018018018,0.0006568927962623338
policy,0,reduces_or_prevents,0,15,7,7,0.7317752751865108,0.0036844697478552696
policy,0,reduces_or_prevents,1,1,1,1,0.7435714285714285,0.0019115860612286643
policy,0,reduces_or_prevents,2,2,2,2,0.686135531135531,0.007402897894438744
policy,0,reduces_or_prevents,3,3,1,1,0.7038868538868539,0.0016250009483551539
policy,0,reduces_or_prevents,4,3,3,3,0.6428998825336586,0.0012669059847566341
policy,0,reduces_or_prevents,6,6,6,6,0.6814693785746417,0.007988861934917442
policy,0,reduces_or_prevents,7,2,2,2,0.7606493506493506,0.0068200419012320245
policy,0,reduces_or_prevents,8,2,2,2,0.6882488479262673,0.004869612733604743
policy,0,requires_or_depends_on,0,8,6,6,0.6185561104442152,0.0026768361885019343
policy,0,requires_or_depends_on,1,1,1,1,0.9370454545454545,0.0031753778011642656
policy,0,requires_or_depends_on,2,4,4,4,0.7825364010989011,0.020682206042552456
policy,0,requires_or_depends_on,3,5,4,4,0.7122527128908663,0.002740927295031407
policy,0,requires_or_depends_on,5,2,2,2,0.6751785714285713,0.0014273581601253376
policy,0,requires_or_depends_on,6,1,1,1,0.6046071428571428,0.0008889406148561601
policy,0,requires_or_depends_on,7,1,1,1,0.4957272727272726,0.0007002874454020647
policy,0,risks_or_threatens,0,4,3,3,0.5870488095238096,0.003946431895248416
policy,0,risks_or_threatens,1,1,1,1,0.6161428571428571,0.0012275010538911268
policy,0,risks_or_threatens,3,3,2,2,0.7521428571428571,0.0013654534533513584
policy,0,risks_or_threatens,5,4,2,2,0.6663650793650793,0.023990292067192845
policy,0,risks_or_threatens,6,4,3,3,0.6527782772782773,0.019962980198812867
policy,0,risks_or_threatens,7,1,1,1,0.6224436090225564,0.0010726491359447155
policy,0,risks_or_threatens,8,2,2,2,0.6539821428571428,0.000726077893758147
policy,1,causes_or_increases,0,4,3,3,0.7259781551509492,0.001113471149227035
policy,1,causes_or_increases,1,33,8,8,0.7796591753698437,0.0023629757497144028
policy,1,causes_or_increases,2,1,1,1,0.807142857142857,0.0014914883048088021
policy,1,causes_or_increases,3,5,5,5,0.6594702190258255,0.0018803752513818519
policy,1,causes_or_increases,4,3,2,2,0.8483652841253461,0.001461518755353236
policy,1,causes_or_increases,5,5,4,4,0.7272781267065914,0.002657714883014444
policy,1,causes_or_increases,6,12,7,7,0.7815516335919068,0.002055850181480624
policy,1,causes_or_increases,7,2,2,2,0.7464810744810744,0.0015644205710392562
policy,1,causes_or_increases,8,11,6,6,0.7697429106636187,0.002634170918009137
policy,1,enables_or_supports,0,4,4,4,0.6871283251954763,0.0033333469728767835
policy,1,enables_or_supports,1,36,9,9,0.6908106758734845,0.0033001905132581675
policy,1,enables_or_supports,2,2,2,2,0.7686567028985507,0.0021821616708239105
policy,1,enables_or_supports,3,6,5,5,0.7242700384800385,0.0020269184119363647
policy,1,enables_or_supports,4,4,3,3,0.6746383241758241,0.0019723842646476846
policy,1,enables_or_supports,5,4,3,3,0.7039258768724881,0.0018329738765398471
policy,1,enables_or_supports,6,8,6,6,0.6774164438046678,0.002587898717087517
policy,1,enables_or_supports,7,6,6,6,0.7089197595704948,0.004510305365564432
policy,1,enables_or_supports,8,2,2,2,0.6173575,0.0034754681860820415
policy,1,expected_to_improve,0,3,2,2,0.759953601953602,0.001816468381388523
policy,1,expected_to_improve,1,4,1,1,0.7395934986897985,0.0025410025309562435
policy,1,expected_to_improve,2,2,2,2,0.5252142857142856,0.0012905457146394899
policy,1,expected_to_improve,3,3,3,3,0.6689786324786325,0.001981847075468357
policy,1,expected_to_improve,5,2,2,2,0.6010546218487394,0.0010379452603490528
policy,1,expected_to_improve,6,3,3,3,0.7088809523809524,0.0008532323864324419
policy,1,expected_to_improve,7,2,2,2,0.642673669467787,0.003046545105646643
policy,1,expected_to_improve,8,2,2,2,0.8281220397249809,0.0018377638555538084
policy,1,reduces_or_prevents,0,2,2,2,0.8055194805194805,0.0187400219824467
policy,1,reduces_or_prevents,1,3,2,2,0.8427059977059977,0.0021889198818467255
policy,1,reduces_or_prevents,3,1,1,1,0.6976190476190476,0.0018017126937011926
policy,1,reduces_or_prevents,5,1,1,1,0.7476923076923077,0.007098897671822354
policy,1,reduces_or_prevents,6,2,2,2,0.7894805194805194,0.001909455611530934
policy,1,reduces_or_prevents,7,2,1,1,0.6137708333333333,0.0014148182679878194
policy,1,requires_or_depends_on,0,4,4,4,0.6303309523809523,0.012321297208628611
policy,1,requires_or_depends_on,1,6,1,1,0.7218306849551414,0.0025749046062210155
policy,1,requires_or_depends_on,3,2,1,1,0.714848901098901,0.0029984997421201366
policy,1,requires_or_depends_on,6,4,2,2,0.7123739779196134,0.003106235621371008
policy,1,requires_or_depends_on,8,1,1,1,0.7595615384615384,0.0010167193377598135
policy,1,risks_or_threatens,0,2,2,2,0.6675884776987718,0.0016804307218085575
policy,1,risks_or_threatens,1,7,3,3,0.8045308848997431,0.003810621164900194
policy,1,risks_or_threatens,3,2,2,2,0.5698051948051948,0.0010219072445521336
policy,1,risks_or_threatens,5,2,1,1,0.7288492063492062,0.0008722127987947599
policy,1,risks_or_threatens,6,4,2,2,0.8414321205110679,0.003590672535019836
policy,1,risks_or_threatens,7,1,1,1,0.859327731092437,0.003618056961853032
policy,1,risks_or_threatens,8,2,2,2,0.6828571428571428,0.0033282929570272813
policy,2,causes_or_increases,0,6,6,6,0.7205158880756604,0.032073854220250546
policy,2,causes_or_increases,1,1,1,1,0.778095238095238,0.002780960587132868
policy,2,causes_or_increases,2,25,7,7,0.7417179497196458,0.006599095973598583
policy,2,causes_or_increases,3,2,2,2,0.8620138888888889,0.0027766961623211634
policy,2,causes_or_increases,4,1,1,1,0.7096428571428571,0.013812191819661883
policy,2,causes_or_increases,5,5,5,5,0.7747055562807666,0.002548157362493273
policy,2,causes_or_increases,6,10,7,7,0.7789640582364494,0.010185346206538663
policy,2,causes_or_increases,7,5,5,5,0.6607378151260505,0.004124709698336032
policy,2,causes_or_increases,8,10,8,8,0.7743619557343242,0.004509820557869832
policy,2,enables_or_supports,0,11,9,9,0.6545997529644269,0.010944740440108021
policy,2,enables_or_supports,1,4,3,3,0.7319338369963369,0.006523421570439841
policy,2,enables_or_supports,2,50,6,6,0.7021442349714171,0.006155518939684079
policy,2,enables_or_supports,3,6,2,2,0.7186806361362067,0.0019503812373372256
policy,2,enables_or_supports,4,1,1,1,0.8184615384615384,0.004152771601368274
policy,2,enables_or_supports,5,8,7,7,0.6841666252094679,0.012964554158951336
policy,2,enables_or_supports,6,7,5,5,0.6796145609382936,0.004346785615948226
