analysis_country,direction,source_topic_space,source_topic,source_topic_code,claims,mean_coverage_deficit,mean_topk_similarity,low_coverage_share,unique_documents
france,policy_to_sentiment,policy,0,P0,37,0.5951629816680342,0.4048370183319659,0.918918918918919,1
france,policy_to_sentiment,policy,1,P1,2,0.5172295272350311,0.48277047276496887,0.5,1
france,policy_to_sentiment,policy,2,P2,192,0.5067243930728486,0.4932756069271515,0.5572916666666666,5
france,policy_to_sentiment,policy,3,P3,13,0.5421303682602369,0.45786963173976314,0.7692307692307693,1
france,policy_to_sentiment,policy,4,P4,1,0.5604348480701447,0.43956515192985535,1.0,1
france,policy_to_sentiment,policy,5,P5,10,0.5293525129556655,0.4706474870443344,0.7,2
france,policy_to_sentiment,policy,6,P6,63,0.5470910152745625,0.45290898472543745,0.7777777777777778,3
france,policy_to_sentiment,policy,8,P8,60,0.5197988544901212,0.4802011455098788,0.7,3
france,sentiment_to_policy,sentiment,3,S3,3,0.3973841667175293,0.6026158332824707,0.0,1
france,sentiment_to_policy,sentiment,5,S5,6,0.5153014113505682,0.4846985886494319,0.6666666666666666,1
france,sentiment_to_policy,sentiment,6,S6,7,0.4356009364128113,0.5643990635871887,0.0,1
france,sentiment_to_policy,sentiment,7,S7,3,0.4653493861357371,0.5346506138642629,0.3333333333333333,1
france,sentiment_to_policy,sentiment,8,S8,15,0.4161182185014089,0.5838817814985912,0.26666666666666666,3
ireland,policy_to_sentiment,policy,0,P0,80,0.4453054439276457,0.5546945560723543,0.3,8
ireland,policy_to_sentiment,policy,1,P1,222,0.4783031722312575,0.5216968277687425,0.4954954954954955,5
ireland,policy_to_sentiment,policy,3,P3,8,0.4655154272913933,0.5344845727086067,0.25,3
ireland,policy_to_sentiment,policy,5,P5,365,0.43750610637338194,0.5624938936266181,0.25753424657534246,6
ireland,policy_to_sentiment,policy,6,P6,116,0.45791256312152434,0.5420874368784756,0.3706896551724138,9
ireland,policy_to_sentiment,policy,7,P7,74,0.3882127806947038,0.6117872193052962,0.10810810810810811,4
ireland,policy_to_sentiment,policy,8,P8,123,0.5011364994494896,0.49886350055051043,0.5365853658536586,10
ireland,sentiment_to_policy,sentiment,1,S1,48,0.354823383813103,0.6451766161868969,0.14583333333333334,2
ireland,sentiment_to_policy,sentiment,2,S2,47,0.40702454840883295,0.592975451591167,0.0425531914893617,1
ireland,sentiment_to_policy,sentiment,3,S3,2,0.4261735677719116,0.5738264322280884,0.0,1
ireland,sentiment_to_policy,sentiment,5,S5,37,0.3767807588383958,0.6232192411616042,0.13513513513513514,1
ireland,sentiment_to_policy,sentiment,7,S7,36,0.44958696472975945,0.5504130352702405,0.3611111111111111,1
other,policy_to_sentiment,policy,3,P3,454,0.31490263185312045,0.6850973681468796,0.02643171806167401,2
other,policy_to_sentiment,policy,5,P5,22,0.32426770708777686,0.6757322929122231,0.09090909090909091,2
other,policy_to_sentiment,policy,6,P6,56,0.310818220355681,0.689181779644319,0.017857142857142856,2
other,policy_to_sentiment,policy,8,P8,6,0.4760081072648366,0.5239918927351633,0.5,2
other,sentiment_to_policy,sentiment,0,S0,69,0.41316208049007086,0.5868379195099291,0.2753623188405797,4
other,sentiment_to_policy,sentiment,1,S1,90,0.3974034998151991,0.6025965001848009,0.14444444444444443,5
other,sentiment_to_policy,sentiment,2,S2,2,0.35544008016586304,0.644559919834137,0.0,1
other,sentiment_to_policy,sentiment,3,S3,215,0.36389549041903296,0.6361045095809671,0.13023255813953488,6
other,sentiment_to_policy,sentiment,4,S4,104,0.3852189630270004,0.6147810369729996,0.16346153846153846,2
other,sentiment_to_policy,sentiment,5,S5,38,0.3501225694229728,0.6498774305770272,0.05263157894736842,3
other,sentiment_to_policy,sentiment,6,S6,39,0.41860835598065305,0.581391644019347,0.3333333333333333,2
