direction,source_topic_space,source_topic,source_topic_code,claims,mean_topk_similarity,mean_coverage_deficit,low_coverage_share,unique_documents
policy_to_sentiment,policy,0,P0,604,0.6232924362681559,0.37670756373184405,0.13245033112582782,29
policy_to_sentiment,policy,1,P1,275,0.6354092019254511,0.3645907980745489,0.14545454545454545,17
policy_to_sentiment,policy,2,P2,192,0.6456977340082327,0.35430226599176723,0.07291666666666667,5
policy_to_sentiment,policy,3,P3,493,0.6919869656616002,0.30801303433839977,0.02028397565922921,13
policy_to_sentiment,policy,4,P4,211,0.6293273685385266,0.37067263146147345,0.09004739336492891,6
policy_to_sentiment,policy,5,P5,490,0.6383752801588604,0.36162471984113964,0.08775510204081632,19
policy_to_sentiment,policy,6,P6,683,0.6347580235751447,0.36524197642485534,0.12005856515373353,41
policy_to_sentiment,policy,7,P7,551,0.6613916566497401,0.33860834335025985,0.09437386569872959,27
policy_to_sentiment,policy,8,P8,431,0.6048651116699187,0.3951348883300812,0.20649651972157773,26
sentiment_to_policy,sentiment,0,S0,69,0.65907061877458,0.3409293812254201,0.08695652173913043,4
sentiment_to_policy,sentiment,1,S1,138,0.6825304871452027,0.31746951285479724,0.043478260869565216,7
sentiment_to_policy,sentiment,2,S2,49,0.6360490492412022,0.3639509507587978,0.02040816326530612,2
sentiment_to_policy,sentiment,3,S3,220,0.7044754288413307,0.2955245711586692,0.02727272727272727,8
sentiment_to_policy,sentiment,4,S4,104,0.6814264643650788,0.31857353563492113,0.028846153846153848,2
sentiment_to_policy,sentiment,5,S5,81,0.6737428252343778,0.32625717476562216,0.07407407407407407,5
sentiment_to_policy,sentiment,6,S6,46,0.6386639845112095,0.3613360154887904,0.08695652173913043,3
sentiment_to_policy,sentiment,7,S7,39,0.607173183025458,0.3928268169745421,0.20512820512820512,2
sentiment_to_policy,sentiment,8,S8,15,0.6479567527770996,0.35204324722290037,0.0,3
