direction,source_topic_space,source_topic,source_topic_code,claims,unique_documents,mean_coverage_deficit
policy_to_sentiment,policy,0,P0,604,29,0.37670756373184405
policy_to_sentiment,policy,1,P1,275,17,0.3645907980745489
policy_to_sentiment,policy,2,P2,192,5,0.35430226599176723
policy_to_sentiment,policy,3,P3,493,13,0.30801303433839977
policy_to_sentiment,policy,4,P4,211,6,0.37067263146147345
policy_to_sentiment,policy,5,P5,490,19,0.36162471984113964
policy_to_sentiment,policy,6,P6,683,41,0.36524197642485534
policy_to_sentiment,policy,7,P7,551,27,0.33860834335025985
policy_to_sentiment,policy,8,P8,431,26,0.3951348883300812
sentiment_to_policy,sentiment,0,S0,69,4,0.3409293812254201
sentiment_to_policy,sentiment,1,S1,138,7,0.31746951285479724
sentiment_to_policy,sentiment,2,S2,49,2,0.3639509507587978
sentiment_to_policy,sentiment,3,S3,220,8,0.2955245711586692
sentiment_to_policy,sentiment,4,S4,104,2,0.31857353563492113
sentiment_to_policy,sentiment,5,S5,81,5,0.32625717476562216
sentiment_to_policy,sentiment,6,S6,46,3,0.3613360154887904
sentiment_to_policy,sentiment,7,S7,39,2,0.3928268169745421
sentiment_to_policy,sentiment,8,S8,15,3,0.35204324722290037
