policy_topic,policy_topic_code,sentiment_topic,sentiment_topic_code,forward_weight_share,reverse_weight_share,connection_score,forward_links,reverse_links,mutual_best,connected_for_visualization
0,P0,0,S0,0.08426672772051842,0.15384835395458016,0.1138608684006079,50,11,False,False
0,P0,1,S1,0.3345198587734133,0.24028704119835356,0.28351505619059203,206,35,True,True
0,P0,2,S2,0.044871615296442506,0.24081664118704338,0.10395110235262751,30,12,False,False
0,P0,3,S3,0.2483584911463137,0.12950903355826102,0.17934510911744156,149,28,False,False
0,P0,4,S4,0.07455745369548553,0.0873705131059081,0.0807101169943679,44,9,False,False
0,P0,5,S5,0.15175327172606667,0.09333853017240949,0.11901439968241377,84,8,False,False
0,P0,6,S6,0.015473445227819405,0.05870916742574238,0.03014022373064115,10,3,False,False
0,P0,7,S7,0.042317150082673276,0.4818338477495222,0.14279298039514574,28,19,False,False
0,P0,8,S8,0.003881986331267186,0.06877098634608185,0.01633915631185564,3,1,False,False
1,P1,0,S0,0.21145412331192803,0.2532629831748314,0.23141629604372627,57,16,True,True
1,P1,1,S1,0.05369879637131989,0.008997221951637876,0.02198044561624199,14,1,False,False
1,P1,2,S2,0.011985375102273384,0.018922394698966574,0.01505961481248388,4,1,False,False
1,P1,3,S3,0.45146018887284073,0.09227873412217472,0.20410824269427152,124,19,False,False
1,P1,4,S4,0.13020778788890747,0.18360524966058273,0.15461834756294304,35,19,False,False
1,P1,5,S5,0.07708130697929555,0.036805044572483514,0.05326331701160056,21,3,False,False
1,P1,6,S6,0.0032680480219188105,0.06478169566482307,0.014550247158518353,1,3,False,False
1,P1,7,S7,0.013457293310675035,0.044479848261832336,0.024465861204417,4,2,False,False
1,P1,8,S8,0.047387080140841135,0.39520718513051023,0.1368492402390884,15,6,False,False
2,P2,0,S0,0.046677214013803085,0.027810844926760316,0.036029609497621275,9,2,False,False
2,P2,1,S1,0.2427883983404077,0.09932213955160989,0.1552876787819234,47,14,False,False
2,P2,2,S2,0.018182971081518028,0.07967694285588817,0.03806262665413908,4,4,False,False
2,P2,3,S3,0.36243255771177446,0.07142224649368242,0.1608904828578314,68,17,False,False
2,P2,4,S4,0.08212159308892877,0.10625681456245752,0.09341294818398517,16,12,False,False
2,P2,5,S5,0.16656557598314664,0.11707413700378186,0.13964426612920686,31,10,False,False
2,P2,6,S6,0.031229495373478713,0.2089872253671871,0.08078716227050387,6,10,False,False
2,P2,7,S7,0.008525857055107989,0.04598368164373597,0.01980026001248686,2,2,False,False
2,P2,8,S8,0.04147633735183465,0.06371189608680437,0.05140560373559805,9,1,False,False
3,P3,0,S0,0.03424107786814619,0.10753048363813728,0.06067915345036447,18,8,False,False
3,P3,1,S1,0.11387188320095089,0.12044724164924776,0.117113424648756,60,16,False,False
3,P3,2,S2,0.018071567734475675,0.0,0.0,10,0,False,False
3,P3,3,S3,0.3607389222169155,0.1543046259487194,0.23593152493430236,175,33,False,False
3,P3,4,S4,0.14794677957666577,0.1391094230529549,0.14346006813553613,73,14,False,False
3,P3,5,S5,0.26617588818580135,0.22604504383122195,0.2452911337814188,126,17,True,True
3,P3,6,S6,0.015747029044548423,0.11894205881719687,0.04327798579893461,8,5,False,False
3,P3,7,S7,0.031764619150286555,0.061119271190776044,0.04406166556223314,16,2,False,False
3,P3,8,S8,0.011442233022209636,0.05904366144261259,0.025992139825547794,7,1,False,False
4,P4,0,S0,0.04588365400384406,0.04148028368354194,0.043626448222574075,10,3,False,False
4,P4,1,S1,0.2569805186313742,0.06356246828571069,0.12780577477388183,55,9,False,False
4,P4,2,S2,0.03593708574207101,0.036453005266192655,0.036194126261139825,9,2,False,False
4,P4,3,S3,0.34243333167618545,0.022221798831389177,0.08723235987677141,70,5,False,False
4,P4,4,S4,0.1004496411386234,0.04123358416205836,0.06435758488273148,20,4,False,False
4,P4,5,S5,0.10948497824938244,0.0,0.0,22,0,False,False
4,P4,6,S6,0.03088954596157056,0.02042805460018492,0.025119978731636797,7,1,False,False
4,P4,7,S7,0.026424525059241543,0.025251603251792334,0.025831407683535403,6,1,False,False
4,P4,8,S8,0.05151671953770732,0.14067747781030454,0.08513073575169842,12,2,False,False
5,P5,0,S0,0.07860409710753476,0.08629931061643865,0.08236188069737024,37,6,False,False
5,P5,1,S1,0.1537765666774765,0.21465177028308774,0.18168217376885276,78,29,False,False
5,P5,2,S2,0.01929583982805667,0.06066055214438159,0.03421251668701773,11,3,False,False
5,P5,3,S3,0.36317171190280917,0.17286766085715377,0.25056065997304283,178,38,False,False
5,P5,4,S4,0.15221436073484573,0.11973492641321967,0.13500138992477828,73,13,False,False
5,P5,5,S5,0.1224815120874978,0.24541289296875812,0.17337399521433644,58,20,False,False
5,P5,6,S6,0.02866051462465396,0.13224105860295568,0.061563762020118075,15,6,False,False
5,P5,7,S7,0.0764451944262232,0.13256532686274533,0.10066768193515929,37,5,False,False
5,P5,8,S8,0.005350202610902187,0.1407674064951911,0.027443289630809584,3,2,False,False
6,P6,0,S0,0.07861394610200197,0.12122739879264782,0.09762255986589942,58,9,False,False
6,P6,1,S1,0.11167011829940236,0.06692097666757661,0.08644693968660676,77,9,False,False
6,P6,2,S2,0.029646378111772686,0.3175455495091382,0.09702615847522021,23,15,False,False
6,P6,3,S3,0.4812781730174851,0.16927103132928295,0.28542328689674706,322,38,True,True
6,P6,4,S4,0.09679445208284589,0.11514231112071802,0.10557053053045852,66,12,False,False
6,P6,5,S5,0.1187168398137034,0.054010930149278824,0.0800750082280424,76,4,False,False
6,P6,6,S6,0.03859541564202133,0.1025129544787091,0.0629009545777915,28,5,False,False
6,P6,7,S7,0.023320792439334,0.041496355705304445,0.03110832522641131,17,2,False,False
6,P6,8,S8,0.021363884491433244,0.0,0.0,16,0,False,False
7,P7,0,S0,0.052466973077358675,0.15566385168702285,0.09037262370641333,31,10,False,False
7,P7,1,S1,0.12678686943738815,0.15091942739590605,0.1383278776559885,73,20,False,False
7,P7,2,S2,0.03104148569434791,0.2232488504627412,0.08324647739045056,20,11,False,False
7,P7,3,S3,0.3587511898695511,0.12633468547856963,0.21289133081746742,194,28,False,False
7,P7,4,S4,0.13097635808214972,0.13909315011195536,0.134973753877699,71,14,False,False
7,P7,5,S5,0.2301485015440789,0.13631351769972097,0.17712242048592566,120,11,False,False
7,P7,6,S6,0.031720090400599824,0.13836464560074618,0.06624906842139462,19,6,False,False
7,P7,7,S7,0.029448587292134593,0.11333476083593375,0.057771520645645044,17,4,False,False
7,P7,8,S8,0.008659944602391107,0.06912829414799042,0.024467267885470875,6,1,False,False
8,P8,0,S0,0.08511491677396216,0.05287648952603955,0.06708634738386149,37,4,False,False
8,P8,1,S1,0.08393662074309055,0.0348917130168698,0.054117395378692756,37,5,False,False
8,P8,2,S2,0.022384931231755695,0.022676063875648227,0.022530027307202383,11,1,False,False
8,P8,3,S3,0.4077811657375393,0.061790183380766917,0.15873522926605002,174,14,False,False
8,P8,4,S4,0.16130631107312368,0.06845402781014531,0.10508123859258398,69,7,False,False
8,P8,5,S5,0.1236165605397615,0.09099990360234528,0.10606175131861521,51,8,False,False
8,P8,6,S6,0.08200030896512002,0.1550331394424547,0.11275089948250444,36,7,False,False
8,P8,7,S7,0.02125036991588073,0.0539353044983576,0.03385476587004797,10,2,False,False
8,P8,8,S8,0.012608815019766318,0.06269309254050488,0.028115575876377096,6,1,False,False
