topic,rank,representativeness_score,keywords,country,doc_id,heading_context,bertopic_text,original_text
0,1,0.3259634548480649,"task, help, generate, feedback, concern, prompt, leader, content, language, large, year, survey",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Large language model parameter comparison,large language parameter comparison guide relation value implication link input rlhf fact truth reinforce correct research endorse aligned culture science director method today know safe know safe appear notion mechanisms order monitor llms path safe response llms number path ability audit chat log consent truth fairness bias long term address begin path assess governance mechanism guide implication competition sophisticate territory unknown emergent skill capability set alignment value manual owner current design legislation protect people serve subsequent current leader,"Large language model parameter comparison

for guiding a model in relation to our values system. This issue has implications for the use of AI models in education, as there is a link between what data is input, and what RLHF retraining is done, by whom and which facts 17 are selected as truth to reinforce. and then what in education we deem as correct, and even further, what is effective in education, what research we are endorsing 18 and what is aligned with our culture and beliefs. The Whitehouse science and technology director, Arari Prabhakar, stated on July 21st 2023:

'We do not have tools or methods today to know when an AI model is safe and effective... That is, we don't know how to tell if they are safe'

This appears to support the notion stated above, that new tools and mechanisms are required in order to monitor or understand LLMs, and it is important for education systems to develop a path to safe and effective AI responses from LLMs. There are a number of important issues"
0,2,0.29763139414831635,"task, help, generate, feedback, concern, prompt, leader, content, language, large, year, survey",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,"Digital Agency Brandenburg, Germany",agency germany local regional agency number agency similar esa agency directly align task analysis concept ideas practical outline agency germany strategy agency fund investment bank project high importance holistic strategic lead project leader taskforce evaluate strategy gap appear increase specifically rural remote,"Digital Agency Brandenburg, Germany Local/regional (agencies)

A number of countries work with an agency support model similar to that of ESA in that an agency is directly aligned with the ministry or ministries and is tasked with supporting the analysis of new concepts and ideas as well as the development and implementation of practical tools to accompany the digitisation of the education systems in their region. Some examples of these are outlined below.

Digital Agency Brandenburg, Germany

An integral part of the state's strategy for digital transformation, the Digital Agency Brandenburg 63 (DABB) is funded by the state ministry for education and the state investment bank. Their activities range from initiating and implementing digital projects with high state importance, holistic support of the municipalities in their strategic planning and operative implementation of technologies, and leading digitisation projects. The DABB and the state of Brandenburg as leaders of the national "
0,3,0.29731666450053706,"task, help, generate, feedback, concern, prompt, leader, content, language, large, year, survey",australia,policy_ai_in_australian_education_snapshot_principles_policy_and_practice_august_2023,Wellbeing,wellbeing set taxonomy focus taxonomy framework improve outcome wellbeing framework present framework centre wellbeing concept appear centre diagram connect suggest wellbeing influence centre surround dimension leadership teach assessment engagement ongoing acquisition knowledge skill capability wellbeing wellbeing capability necessary thrive contribute respond positively life leadership strategic direction deployment reflect share value high expectation positive safe environment leadership share culture collaboration positive supportive relationship staff core teaching teach curriculum senior,"Wellbeing Appendix 3: Set of educational taxonomies

Below are some examples of educational focused taxonomies

Framework for Improving Student Outcomes (FISO)

https://www2.education.vic.gov.au/pal/fiso/policy

Learning and wellbeing framework

This figure presents a circular framework centred on Learning and Wellbeing. These two concepts appear at the centre of the diagram, connected by circular arrows, suggesting that learning and wellbeing influence each other. Around the centre are five surrounding dimensions:

- Leadership
- Teaching and learning
- Assessment
- Engagement
- Support and resources

Learning

Learning is the ongoing acquisition by students of knowledge, skills and capabilities,.

Wellbeing

Wellbeing is the development of the capabilities necessary to thrive, contribute and respond positively to challenges and opportunities of life. | Leadership | The strategic direction and deployment of resources to create and reflect shared goals and values; high expectations; an"
0,4,0.27647403153512606,"task, help, generate, feedback, concern, prompt, leader, content, language, large, year, survey",australia,policy_ai_systems_in_teaching_and_learning_principles_and_practical_exa,4. Emerging technologies or products,emerge product map major broad category adaptive personalise tutor assessment management profile prediction emerge product adaptive personalise tutor category adapt content feedback pathway individual learner tutor learner status adaptive feedback provision adaptive test exercise provision adaptive content recommendation adaptive style detection analysis adaptive presentation adaptive path assessment management category assess learner manage assessment assess ability behaviour grading teach evaluation management collaborative exam management management profile prediction category predictive an,"4. Emerging technologies or products Figure 3. Types of AI in education applications

This figure maps major applications of AI in education into four broad categories: adaptive learning and personalised tutoring, intelligent assessment and management, profiling and prediction, and emerging technologies or products.

1. Adaptive learning and personalised tutoring

This category includes AI systems that adapt learning content, feedback, and pathways to individual learners. - Intelligent tutoring systems
- Learner status diagnosis and adaptive feedback provision
- Adaptive test and exercise provision
- Adaptive learning content recommendation

- Adaptive hypermedia learning systems
- Learning style detection or analysis
- Adaptive presentation
- Adaptive path navigation support

2. Intelligent assessment and management

This category includes systems used to assess learners, support teachers, and manage educational processes. - Intelligent assessment systems
- Assess students' learning a"
0,5,0.2759998988907424,"task, help, generate, feedback, concern, prompt, leader, content, language, large, year, survey",australia,policy_doai_24_educator_guide,Years 7 and 8,year curriculum alignment day align curriculum version curriculum assessment authority acara number dimension curriculum connection day align curriculum connection purpose concept associate responsible encourage critically evaluate broad society reflect ethical day align directly aspect curriculum connection knowledge concept associate pattern recognition chance apply train produce output result quality training quality reliability bias output explore perform task solve problem predictive strategy large operate predictive autonomous vehicle build awareness assess design function responsible pu,"Years 7 and 8 CURRICULUM ALIGNMENT

Day of AI is aligned to the Australian Curriculum (Version 9) developed by the Australian Curriculum, Assessment and Reporting Authority (ACARA) across a number of dimensions.

Artificial Intelligence (AI) Curriculum Connection

[Day of AI aligns with the Artificial Intelligence (AI) curriculum connection's stated purpose to:](https://v9.australiancurriculum.edu.au/teacher-resources/understand-this-curriculum-connection/artificial-intelligence/)

- ・ Develop student understanding of concepts associated with AI systems and the responsible use of AI; and
- ・ Encourage students and teachers to critically evaluate the broader impact of AI on society and reflect on ethical considerations

Day of AI also aligns directly with the key aspects of the AI curriculum connection:

Understanding how AI works

Students develop knowledge of how concepts associated with pattern recognition, chance, data and algorithms are applied to train AI through machine learning "
1,1,0.44503860081791263,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Responding to the challenge,respond network quality bring leader industry social purpose research commit harness edtech potential improve outcome especially experience disadvantage counter risk undermine positive recent forum network harmful cognitive offload critical leverage point emerge strategy help deploy draw substantial evidence know best teach explicitly structure scaffold design amplify expertise build cognitive effort knowledge outline promise pathway evidence align priority explicit teach strategy help offload task building selfregulated capability critical thinking bring clear metacognitive prompt encourage d,"Responding to the challenge

The Australian Network for Quality Digital Education has brought together leaders across education, government, industry, social purpose, research and philanthropy committed to harnessing edtech's potential to improve learning outcomes, especially for those students experiencing disadvantage, while countering risks that undermine positive impact. At a recent forum, the Network considered the challenge of AI and harmful cognitive offloading. Two critical leverage points emerged:

1. strategies to help teachers most effectively deploy AI, drawing on the substantial evidence of what already is known to work best in teaching and learning and by explicitly structuring and scaffolding the student use of AI; and
2. educational design of AI tools so that they amplify teacher expertise to build, not relinquish, the student cognitive effort required for lasting knowledge. This report outlines specific promising pathways, backed by evidence, that align with these prio"
1,2,0.34719386450604084,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,3.,integrate expertise design small randomise control trial high test tutor chatbot tutor chatbot response alter tutor standardise prompt similar progress solely tutor group progress supervise highlight chatbot strength produce prompt deep reflection result suggest pedagogically tutor offer significant promise team possibility lie emerge specifically agent function agent likely serve function continue play critical time write agent rapid nonetheless limited far indicate form augmentation potential represent foundational alternative form equitable sound especially trustworthy research recent year ,"3.

- Integrating teacher expertise as part of AI design : A small randomised control trial across five UK high schools tested three tutoring approaches: teacher-controlled chatbot tutoring (chatbot responses could be altered by the teachers); human tutoring; and standardised, pre-written prompts. Students made similar progress whether using the teacher-controlled AI or solely human tutoring, and both groups progressed further than those using generalised hints. Supervising teachers highlighted the teaching-guided chatbot's strength in producing questions that prompted deeper reflection, with results suggesting 'pedagogically finetuned AI tutoring systems' offer significant promise (LearnLM Team Google &amp; Eedi 2025). Further possibilities lie in the emerging use cases for specifically developed AI agents that could function as teachers' aides, of sorts. These agents would likely serve a very different function from human teacher aides, who will continue to play a critical role in ed"
1,3,0.33799115877938923,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,The good news is that research studies also suggest these harmful effects can be counteracted through,preface content knowledge strong metacognitive skill leverage accelerate critical thinking hong conversely lack skill experience disadvantage potentially susceptible harmful offload miss unstructured risk wider equity divide loble stephen good research study suggest harmful effect teaching strategy design strategy reinforce importance quality teach position extent scale shift knowledge skill acquisition raise fundamental teach solely teach literacy validate tackle harmful cognitive outsource solely responsibility ecosystem teach quality curriculum respond navigate nuance positive negative cogn,"The good news is that research studies also suggest these harmful effects can be counteracted through Preface

levels of content knowledge and strong metacognitive skills are better able to leverage AI to accelerate and deepen their learning and critical thinking (Hong et al. 2025). Conversely, students lacking such skills, often those already experiencing disadvantage, are potentially more susceptible to harmful offloading and missing the learning they need. The unstructured use of AI risks even wider equity divides (Loble &amp; Stephens 2024).

The good news is that research studies also suggest these harmful effects can be counteracted through

purposeful teaching and learning strategies and effective design of AI education technology. These strategies reinforce the importance of quality teaching, with AI in a subsidiary, supporting position. So, while the extent and scale to which students shift their knowledge and skill acquisition to AI raises fundamental questions for teaching a"
1,4,0.3173619517859639,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,"Wolf, M. (2016). Tales of literacy for the 21 st century: The literary agenda . Oxford University Press.",wolf tale literacy century literary agenda oxford university press synthesise neuroscience research examine literacy transform brain read wolf argues read deep reading reason critical analysis sustain attention read second produce processing reduce attention cognitive wolf propose teach reading deep introduce literacy influence literacy instruction foundation concern medium cognitive particularly read write liu zhao experience environment critical metacognitive british journal paper relatively small study examine inclusion metacognitive prompt inclusion metacognitive prompt significantly learn,"Wolf, M. (2016). Tales of literacy for the 21 st century: The literary agenda . Oxford University Press.

This monograph synthesises neuroscience research to examine how literacy transforms the brain and changes with digital reading. Wolf argues reading requires neural recycling to create circuits enabling deep reading processes (inferential reasoning, critical analysis, empathy development), requiring sustained attention. Digital reading's second revolution produces faster but more superficial processing, reduced attention, and cognitive impatience. Wolf proposes biliteracy, teaching print reading first to establish deep circuits before introducing digital literacy. This work influences literacy instruction debates and provides neuroscientific foundations for concerns about digital media's cognitive impacts, particularly relevant as AI further transforms reading and writing practices. Xu, X., Qiao, L., Cheng, N., Liu, H., &amp; Zhao, W. (2025). Enhancing self-regulated learning and le"
1,5,0.3039528904459852,"cognitive, load, offload, metacognitive, study, critical, learner, performance, knowledge, thinking, memory, effect",australia,policy_ai_cognitive_offloading_and_implications_for_education,Introduction,introduction robust accessible analysis novel interaction mechanism recognise research nascent simple calculator search engine function interactive fluent responsive cognitive partner lodge prompt summarise analyse critique explain offer perform simulate cognitive task generation retrieval synthesis evaluation traditionally associate capability bring psychological concept cognitive offload risko gilbert outsource mental external niche academic interest central practical leader happen partner capable fluent coherent correct allow bypass effortful cognitive generate offload free think prevent kn,"Introduction

It seeks to provide a robust but accessible analysis of the novel interaction between AI and the established mechanisms of human learning. It is recognised here that the research in this area is still nascent. Much more is yet to be done to understand the impacts of AI on learning. AI is not a simple tool like a calculator or a search engine. It can function as an interactive, fluent, and responsive cognitive partner (Lodge et al. 2023). AI tools can be prompted to summarise, analyse, create, critique, and explain. In doing so, these technologies offer to perform (or at least simulate) the cognitive tasks (generation, retrieval, synthesis, and evaluation) that we have traditionally associated with the process of learning . This capability brings the psychological concept of cognitive offloading (Risko &amp; Gilbert 2016), the outsourcing of mental work to an external resource, from a niche academic interest to a central, practical challenge for every teacher, educational "
