topic,representativeness_score,doc_id,source_type,synthetic_type,bertopic_token_count,bertopic_source_text,bertopic_clean_text,representative_rank
0,0.525060382499606,sentiment_original_oco_ai_and_us_young_peoples_views_and_understanding_of_artificial_intelligence,original,not_synthetic,89,"'It can help teachers when they are trying to teach a lesson and summarise things better and make it more understandable.'

Some of the YAP's teachers were using AI in the classroom. For example, one teacher instructed students to write a response to an AI-generated speech debating AI itself, as a learning exercise. Others have been showing students how to responsibly use AI and suggesting what it is appropriate to use AI for. Some YAP members mentioned examples from China, where teachers are using AI to track students' learning, monitor their attention, support teachers in their work, and alert teachers if students have a medical problem. In most cases, however, the YAP are using AI on their own, not because teachers are asking them to or teaching them about it. They were aware that they have to be careful when doing so, like giving specific prompts to chatbots to get the information you need (e.g., write from the point of view of a Junior Cert student). Even though AI is helpful for essay writing, they said it can be 'obvious when AI is used', especially when a student doesn't normally write that way. They were also aware that detectors could be used by teachers to check for AI use. 'You can't give something that isn't living a living experience, you can't give a robot a 14-year-old's experience.'

The YAP also feared that over-relying on AI would affect their ability to learn important skills, think critically and do things on their own. Some mentioned that this was already quite common in their schools and they were worried that young people would lose the 'ability to think for [themselves]'. This doesn't just put their right to education at risk. It also affects children's right to have a say and express themselves. 'You stop thinking for yourself if you become more reliant on it… It's a loss of intelligence.'

'People say I'm good with numbers.",help teacher try teach summarise thing understandable teacher teacher instructed student write ai-generated speech exercise student responsibly suggest mention china teacher track student monitor attention support teacher alert teacher student medical problem teacher teach aware careful prompt chatbots need write point view junior cert student helpful essay writing obvious especially student normally write aware detector teacher check live live experience robot experience fear over-relying affect ability learn skill think critically thing mention common worried young people lose ability think risk affect child express stop think reliant loss people good,1
0,0.48867018666613943,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,96,"Photomath

specific prompts but how this also helped them to clarify their own thoughts. Indicative comment: 'For the rubrics, for example, it's helped me to know what I am about really. Because I have to be specific. And I have to know what I want before being able to ask ChatGPT. It just saved a bit of time so instead of typing everything I was able to copy and paste it.'

In addition, they expressed concern about the possibility of students using it for cheating but also pointed to the benefit of students having to understand the need for clarity and how to use the tool to be able to leverage it in their own learning. Indicative comment: 'But I think a lot of teachers would be scared, you know, because again, it's quite difficult to know if a student has actually written that themselves.'

Indicative comment: '… with the likes of ChatGPT it's very specific. So you do need to be extremely specific - what you type in as to what exactly you're looking for. So even to teach them that, being very specific with regards to what they're looking for, to try and narrow it down.'

In addition, some of the teachers spoke at length about Microsoft Teams and were very positive about the ability it gives them to monitor student progress through the analytics function, and how they used the software to provide individualised work to students. Other AI powered tools the teachers mentioned that they found useful for their students were Immersive Reader and Reading Progress. Indicative comment: 'And Immersive Reader is a help as well for them to link what they hear with what they see. So it's really helpful for that, because in languages very often what you hear is not necessarily what you see. So that's very helpful for students.'

Indicative comment: 'Reading Progress, I think, for languages, for English, for English as an additional language (EAL). Reading Progress is brilliant because the student can work individually at their pace … You can choose different passages for different students.",photomath prompt help clarify thought rubric help know know chatgpt save time instead copy paste addition express concern possibility student cheat pointed benefit student need clarity leverage think teacher scar know difficult know student write chatgpt need extremely exactly look teach regard look try narrow addition teacher speak length team positive ability monitor student progress analytics individualised student powered teacher mention useful student immersive reader read progress immersive reader help link hear helpful language hear necessarily helpful student read progress think languages english english additional language eal read progress brilliant student individually pace choose passage student,2
0,0.4266092213214566,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,original,not_synthetic,109,"5.2.2.1. Enhancing student engagement

GenAI can be harnessed to improve student engagement in various ways, including personalizing learning experiences, providing interactive and immersive learning environments, and facilitating real-time feedback and assessment. In Ireland , teachers noted that they are using GenAI to reignite curiosity for learning and create more active and personalised learning opportunities for students in their classes. For example, one of the participants explained how they managed to attract the attention of hard-to-engage student by customising an AI tool. 'And the other thing I'm able to do is I'm able to engage the kids more. So, for example, I made a paragraph writing buddy so some of our students would find it hard to get started writing. Yes, they might need sentence starters, and I want them to do it in a topic sentence, supporting details, conclusion. So, I've made a tool to help them do that. And it wasn't working with one kid. He was still disinterested. So, I made a smart Alec version that gave him a bit of sassy answers [laughter] and that engaged him. So, I was able to individualise the support. So doing the same job, getting the same result, but different types of support.' (Secondary education teacher in Ireland, original quote)

Another teacher in Ireland highlighted the potential of GenAI to reduce stress and optimise opportunities for students to practice their foreign language oral skills in preparation for their Leaving Certificate examinations. Typically, the students are given a scenario, such as interacting with a waiter in a coffee shop, and they must engage in a conversation. Using GenAI allowed students to feel less under pressure to engage in such activities, as they are interacting with the computer, as 'it gives them thinking time'. In Luxembourg , the introduction of GenAI supports a shift towards more student-centred approaches to learning. Teachers have increasingly used AI-powered tools to personalise the learning experience, tailoring teaching strategies to meet the diverse needs of their students.",student engagement harness improve student engagement personalize experience interactive immersive environment facilitate real-time feedback assessment teacher note reignite curiosity personalise opportunity student class explain manage attract attention hard-to-engage student customise thing write buddy student hard start write yes need sentence starter topic sentence support detail conclusion help disinterested smart alec version sassy laughter individualise support job result support secondary teacher quote teacher highlight potential reduce stress optimise opportunity student foreign language oral skill preparation leave certificate examination typically student scenario interact waiter coffee shop conversation allow student feel pressure interact think time luxembourg introduction support shift student-centred teacher increasingly ai-powered personalise experience tailor teach strategy meet diverse need student,3
0,0.4249338488130415,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,109,"Student knowledge of AI. 6.1 Student demographics

than 100 books at home (55.4%), with nearly 40% of them indicating there are more than 200 books (39.1%) in their home. Students were also asked to indicate how good they think they are at school. Most students indicated that they think their performance at school is good (n=53; 57%). Only one student reported that their performance is low, while the remaining students (n=38; 41%) stated their performance is average.

6.2 Student knowledge of AI

Most students indicated they know fairly well what AI is (51.1%), while a considerable number said they definitely know what AI is (23.9%). However, just over 20% of students reported knowing very little and four students (4.3%) indicated they do not know anything about AI. Table 32. Knowledge of artificial intelligence (AI)

| Do you know what AI is? | n | % |
|---------------------------|-----|------|
| Definitely | 22 | 23.9 |
| Pretty much | 47 | 51.1 |
| A little | 19 | 20.7 |
| Not at all | 4 | 4.3 |

Students were also asked about their understanding of artificial intelligence through the question: 'How would you define AI?' Their open-ended responses were analysed with the aim of understanding how students define and comprehend AI, identifying common themes in their understanding, and evaluating the depth of their knowledge and awareness of AI concepts. Of the 92 student responses that were collected, 90 were analysed; two responses were excluded from the analysis because they included rich, extended definitions which seemed likely to have been generated by AI tools, rather than written by the students themselves. Student responses were categorised according to six pre-defined themes; five related to the understanding of AI (as smart devices/software, as digital assistance, as human-like intelligence, as an autonomous learning system, and how it collects/processes data) and the sixth was used to categorise responses that were unclear, ambiguous or expressed a lack of knowledge or understanding of AI. Most responses fit clearly into a single category; however, 11.1% of responses were more nuanced and contained more than one theme. Over one-fifth (21.1%) of student responses included descriptions of AI as software or smart devices. For example, 'a software that can do something without human assistance'. These responses frequently included more than one theme. Other examples are:

'An AI is a robot that is online, programmed to help people.'

'AI is a robot that can learn from past conversations with people without needing to be reprogrammed.'

'AI stands for artificial intelligence.",student knowledge student book home nearly indicating book home student indicate good think student indicate think performance good student performance student performance average student knowledge student indicate know fairly considerable definitely know student know little student indicate know knowledge know definitely pretty little student define open-ended analysed aim student define comprehend identifying common theme evaluate depth knowledge awareness concept student collect analyse exclude rich definition likely write student student categorise accord pre-defined theme smart assistance human-like autonomous collect sixth categorise unclear ambiguous express lack knowledge fit clearly single nuanced contained theme one-fifth student description smart assistance frequently theme robot help people robot learn past conversation people need reprogrammed stand,4
0,0.41187760737570234,sentiment_original_ai4t_wp3_d3_3_nr_ireland,original,not_synthetic,70,"Student attitude towards AI. 6.4 Student attitude towards AI

Overall, most students reported positive attitudes towards AI; however, many students also have significant concerns about it. A very high proportion of the student sample is impressed by what AI can do (87.8%) and they believe that, in general, AI would be useful in education (82.2%), particularly the possibility that teaching will be more personalised to each student's needs (70%). A large proportion of students think AI is exciting (66.7%), they plan to use AI for learning in the near future (63.3%), and are interested in discovering new tools for learning (64.4%). Table 36. Numbers/percentages of students who agreed with the following statements regarding AI

| | n | % |
|------------------------------------------------------------------------------------------------------------------------------|-----|------|
| I am impressed by what AI can do | 79 | 87.8 |
| AI is exciting | 60 | 66.7 |
| I am interested in discovering new AI tools for learning | 58 | 64.4 |
| I want to use AI more in class | 51 | 56.7 |
| I plan to use AI for learning in the near future | 57 | 63.3 |
| I think in general AI would be useful for education | 74 | 82.2 |
| I think that, with AI, teaching will be more personalised to each student's needs | 63 | 70.0 |
| I think the use of AI will increase teaching quality | 42 | 46.7 |
| AI worries me | 48 | 53.3 |
| I have an instinctive dislike for AI | 17 | 18.9 |
| I think the use of AI will dehumanise education | 39 | 43.3 |
| I think the use of AI will increase inequalities and discrimination | 17 | 18.9 |
| I think the use of AI will lead to a greater risk of students' personal information being breached and used at their expense | 44 | 48.9 |

Note . Categories 'Strongly agree' and 'Agree' have been merged and the results are presented in this table.",student attitude student attitude overall student positive attitude student significant concern high proportion student impress believe useful particularly possibility teach personalised student need large proportion student think excite near interested discovering student follow statement impressed excite interested discovering class near think useful think teach personalise student need think increase teaching quality worry instinctive dislike think dehumanise think increase inequality discrimination think lead great risk student personal breached expense note result,5
1,0.2032232073990307,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,original,not_synthetic,75,"3.1. Participants

Participants in this study were selected to reflect a diverse range of backgrounds and perspectives on GenAI in education, in line with best practice for qualitative research. The selection approach was designed to capture the multifaceted impact of GenAI at different levels of the education system. Research teams recruited one policymaker and four teacher educators in their respective countries, to be interviewed individually. Policymakers could be working at either national or regional level, but the essential criterium was that they should specialise in the education sector. Teacher educators were academic staff at higher education institutions involved in the delivery of teaching qualifications specific to pre-service secondary education teachers or, in some cases, teachers responsible for the delivery of continuous professional development (CPD) opportunities aimed at in-service secondary education teachers. A series of focus groups were conducted in each of the selected countries, with educators in leadership roles at their schools (i.e., principals), as well as students and teachers. The latter were divided into two different groups according to their areas of specialisation, namely a) artshumanities subjects and b) science, technology, engineering and mathematics (STEM) subjects. This division allowed for more targeted discussions relevant to each group's unique experiences and needs. Table 1.",select reflect diverse background line best qualitative research selection design capture multifaceted impact research team recruit policymaker teacher educator respective individually policymakers regional essential criterium specialise sector teacher educator academic staff high institution involve delivery teach qualification pre-service secondary teacher teacher responsible delivery continuous professional opportunity aim in-service secondary teacher series focus conduct selected educator leadership roles student teacher divide accord specialisation artshumanities subject science engineering mathematics stem subject division allow targeted unique experience need,1
1,0.19115800409203534,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,original,not_synthetic,133,"5.2.1. Country overviews

In Finland , GenAI's integration into educational settings was recognised for its potential, but with cautious optimism. Finnish teachers, educators, and students acknowledged AI's opportunities, focusing on its capacity to assist in creative and routine tasks like lesson planning and content creation. Despite these benefits, GenAI had not yet led to significant changes in schools. Teachers emphasised the importance of AI literacy, ethical considerations, and human agency. GenAI was mainly used for specific tasks, often related to producing visual or digital products, while teachers maintained a focus on fostering students' higher-order thinking skills essential for national final examinations. Concerns about academic integrity and the need for reliable detection tools were prevalent, highlighting the necessity for ongoing professional development and infrastructure to support AI-based learning. While AI tools assist in routine tasks and enhance teaching efficiency, ethical concerns about academic integrity and overreliance on technology persist. The need for continuous professional development was emphasised to ensure teachers can integrate AI effectively while maintaining ethical standards. Educators in Germany showed a proactive stance towards GenAI, displaying a high level of knowledge and systematic integration of AI tools in classrooms. Despite an absence of comprehensive policies and infrastructure, teachers adapted assessment practices to accommodate AI's influence. Teachers' thoughts on how examination formats need to change in the age of GenAI and how some of these formats had already been changed on their own initiative (a discussion in which schools were ahead of universities) were also particularly interesting. This means that the consideration of GenAI in school teaching and learning could already be observed at a very elaborate level in some cases, but it was not - or only to a very limited extent - 'covered' by framework specifications. Schools and teachers were therefore engaging with this technology in a 'lawless' space, without any protections against the risks associated with such emerging digital practices. In Ireland , GenAI was gradually impacting the educational environment, with early adopters leading the way. Teachers utilizing GenAI reported increased efficiency, enabling them to craft more engaging learning experiences.",overview finland integration setting recognise potential cautious optimism finnish teacher educator student acknowledge opportunity focus capacity creative routine task creation despite benefit lead significant teacher emphasise importance literacy ethical agency mainly task produce visual product teacher focus foster student higher-order think skill essential examination concern academic integrity need reliable detection prevalent highlight necessity ongoing professional infrastructure support ai-based routine task teach efficiency ethical concern academic integrity overreliance persist need continuous professional emphasise teacher integrate ethical standard educator germany proactive stance display high knowledge systematic integration classrooms despite absence comprehensive infrastructure teacher adapt assessment accommodate influence teacher thought examination format need age format ahead university particularly interesting teach observed elaborate limit extent framework specification teacher lawless space protection risk associate emerge gradually impact environment early adopter lead teacher utilizing increased efficiency craft engaging experience,2
1,0.18835666222283487,sentiment_original_survey_on_artificial_intelligence_for_teaching_and_learning_results_european_school_education_platform,original,not_synthetic,60,"6. How likely do you consider the following statements about AI's impact on teachers' professional roles and wellbeing?

Most respondents expect AI to have a significant impact on their professional lives - only 12% consider it 'very likely' that AI will have no meaningful effect. However, views on that impact are mixed. On the positive side, teachers see real potential: 81% consider that AI will impact the way they assess pupils' work , whereas 79% consider that AI will reduce their workload and administrative burden somehow, and that it will enhance their ability to support individual pupils . At the same time, teachers anticipate certain challenges: 87% consider that AI will require some level of upskilling and continuous training , and 79% think it will increase stress due to new responsibilities. Finally, concerns about professional autonomy appear more measured: 55% consider it at least partially likely that AI will reduce their autonomy in teaching decisions, 39% don't see this as likely at all. This suggests that respondents remain cautiously optimistic about retaining control over their practice.",likely follow statement impact teacher professional wellbeing expect significant impact professional life likely meaningful effect view impact mixed positive teacher real potential impact assess reduce workload administrative burden ability support individual time teacher anticipate challenge upskilling continuous training think increase stress responsibility finally concern professional autonomy appear measure partially likely reduce autonomy teach decision likely suggest cautiously optimistic retaining control,3
1,0.18775296773719907,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,original,not_synthetic,121,"5.1.2.1. AI literacy for in-service teachers

developed a dedicated webpage for AI in schools, the AI Hub, 32 which provides information and resources on AI and how it can benefit and support users, as well the current limitations and concerns about its use. They have also developed an online introductory course for teachers, 'AI for Schools'. 33 The Teacher Educators interviewed for the study noted the importance of providing professional learning opportunities for practising teachers, in order to enable them to experience and critically consider the use of GenAI technologies in their professional practice. There is a recognition that teaching staff, at all levels, require professional learning activities in this area and that these need to be more engaging and varied in nature. The research conducted in Luxembourg concluded that one of the main challenges was the need for ongoing professional development to ensure that teachers are adequately prepared to use AI tools effectively. Many teachers in Luxembourg are keen to use AI but feel that they lack the necessary skills and confidence to do so. Meanwhile, some teachers expressed concerns about the potential for GenAI to marginalise traditional teaching practices. These concerns highlight the need for ongoing dialogue and adaptation within teacher training frameworks to ensure that the benefits of GenAI are realised without undermining the fundamental aspects of teaching. This gap highlights the importance of providing targeted training and support specific to the needs of teachers to help them navigate the complexities of AI integration. By creating opportunities for teachers to share their experiences and insights, schools and training institutions could also help build a community of practice and a network that supports the effective use of GenAI in education. [32 Webwise.ie - AI and Online Safety](https://www.webwise.ie/ai-online-safety/)

[33 AI for Schools - Oide Technology in Education](https://www.oidetechnologyineducation.ie/onlinecourses/ai-for-schools/)

In Spain , the levels of digital competence required from teachers in pre-university education are defined by the Spanish Framework for the Digital Competence of Teachers (SMEVTS et al., 2022), which was based on the EU Digital Competence Framework for Educators (DigCompEdu) (JRC et al., 2017). However, teacher training and capacity building is a responsibility of regional governments.",literacy in-service teacher dedicated webpage hub benefit support user current limitation concern introductory course teacher teacher educator noted importance professional opportunity practise teacher order experience critically professional recognition teach staff professional need varied nature research conduct luxembourg conclude main challenge need ongoing professional teacher adequately prepared teacher luxembourg keen feel lack necessary skill confidence teacher express concern potential marginalise traditional teaching concern highlight need ongoing dialogue adaptation teacher train frameworks benefit realise undermining fundamental aspect teach gap highlight importance target train support need teacher help navigate complexity integration opportunity teacher experience insight train institution help build community network support safety spain competence teacher pre-university define spanish framework competence teacher smevts competence framework educator digcompedu jrc teacher training capacity building responsibility regional,4
1,0.17263851291498822,sentiment_original_generative_artificial_intelligence_in_secondary_education_kj0125604enn,original,not_synthetic,130,"5. Findings

as a means to personalise their learning or to make teaching more effective. Moreover, the students believed that they were incorporating GenAI more frequently than their teachers into their daily routines, using it as a supportive tool to practice skills, receive feedback, simplify complex topics, generate summaries or simulate exams. Students reported the use of GenAI tools for brainstorming and content generation in the context of creative tasks (e.g., writing, arts), language skills development (e.g., by practising with chatbots or using language apps), as well as for the creation of learning resources such as concept maps or flashcards. Beyond getting support for specific learning activities, some students already perceived GenAI as a personal assistant that was there to be used to support them as they performed academic and everyday personal tasks. Overall, there was concern among educators, teachers and school leaders about a generalised lack of guidelines, policies, and infrastructure to support an effective early adoption of GenAI in secondary schools and, more generally, education at large. Teachers, school leaders and policymakers across these countries highlighted the need for clear policies, professional development, and support to ensure that teachers are equipped to adequately incorporate GenAI into their practice and know when and how to use it effectively and appropriately. It is worth noting that data collection for this study took place before the entry into force of the AI Act, which is the first comprehensive legislation in the world aimed at regulating AI across sectors; including the designation of prohibited and high-risk uses of AI in education and training, as well as provisions specifically concerned with AI literacy. educators and policymakers in these countries recognise the need for ongoing relevant professional

The need to address ethical considerations that may result from the integration of GenAI into secondary education, with particular attention to data privacy, security, the potential for bias in AIgenerated content and academic integrity, was highlighted across all countries. Additionally, development and support to ensure that teachers are well-equipped to address these ethical concerns and use GenAI in a responsible and effective manner.",personalise teach student believe incorporate frequently teacher daily routine supportive skill receive feedback simplify complex topic generate summary simulate exams student brainstorm generation context creative task write art language skill practise chatbots language apps creation concept map flashcard support student perceive personal assistant support perform academic everyday personal task overall concern educator teachers leader generalise lack guideline infrastructure support early adoption secondary generally large teacher leader policymakers highlight need clear professional support teacher equip adequately incorporate know appropriately worth note collection place entry force act comprehensive legislation world aim regulate sector designation prohibit high-risk train provision specifically concerned literacy educator policymakers recognise need ongoing professional need address ethical result integration secondary particular attention privacy security potential bias aigenerated academic integrity highlight additionally support teacher well-equipped address ethical concern responsible manner,5
