topic,country_display,documents,topic_total,share_within_topic,keywords,topic_label
0,usa,167,277,0.6028880866425993,"assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt",AI-Assisted Learning Assessment Protocols
0,australia,54,277,0.19494584837545126,"assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt",AI-Assisted Learning Assessment Protocols
0,france,29,277,0.10469314079422383,"assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt",AI-Assisted Learning Assessment Protocols
0,ireland,27,277,0.09747292418772563,"assessment, language, write, generate, feedback, content, teach, task, help, chatgpt, think, prompt",AI-Assisted Learning Assessment Protocols
1,ireland,126,149,0.8456375838926175,"child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention",AI Child Protection and Rights
1,usa,14,149,0.09395973154362416,"child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention",AI Child Protection and Rights
1,australia,8,149,0.053691275167785234,"child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention",AI Child Protection and Rights
1,france,1,149,0.006711409395973154,"child, parent, sexual, child child, abuse, people, oco, recommender, unicef, council, child sexual, convention",AI Child Protection and Rights
2,france,219,219,1.0,"usage, outils, cadre, données, pédagogique, établissements, déploiement, utilisation, numérique, pédagogiques, enjeux, usages",AI Usage and Pedagogy in School Governance
3,International / UNESCO,176,199,0.8844221105527639,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical",AI Competency Framework and Curriculum Development
3,australia,6,199,0.03015075376884422,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical",AI Competency Framework and Curriculum Development
3,france,6,199,0.03015075376884422,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical",AI Competency Framework and Curriculum Development
3,usa,6,199,0.03015075376884422,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical",AI Competency Framework and Curriculum Development
3,ireland,5,199,0.02512562814070352,"competency, design, knowledge, skill, framework, progression, competency framework, curriculum, aspect, knowledge skill, professional, ethical",AI Competency Framework and Curriculum Development
4,australia,76,90,0.8444444444444444,"cognitive, offload, load, cognitive load, metacognitive, critical, study, cognitive offload, learner, critical thinking, thinking, performance",Cognitive Offloading in AI-Assisted Education
4,usa,11,90,0.12222222222222222,"cognitive, offload, load, cognitive load, metacognitive, critical, study, cognitive offload, learner, critical thinking, thinking, performance",Cognitive Offloading in AI-Assisted Education
4,france,3,90,0.03333333333333333,"cognitive, offload, load, cognitive load, metacognitive, critical, study, cognitive offload, learner, critical thinking, thinking, performance",Cognitive Offloading in AI-Assisted Education
5,ireland,138,193,0.7150259067357513,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar",Digital Learning Frameworks and Assessment Policies
5,usa,22,193,0.11398963730569948,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar",Digital Learning Frameworks and Assessment Policies
5,australia,18,193,0.09326424870466321,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar",Digital Learning Frameworks and Assessment Policies
5,International / UNESCO,8,193,0.04145077720207254,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar",Digital Learning Frameworks and Assessment Policies
5,france,7,193,0.03626943005181347,"strategy, learner, teach, teach assessment, assessment, progress, leader, skill, competence, framework, professional, pillar",Digital Learning Frameworks and Assessment Policies
6,australia,112,277,0.4043321299638989,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal",AI Ethical Guidelines and School Data Protection
6,usa,68,277,0.24548736462093862,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal",AI Ethical Guidelines and School Data Protection
6,ireland,42,277,0.15162454873646208,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal",AI Ethical Guidelines and School Data Protection
6,france,30,277,0.10830324909747292,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal",AI Ethical Guidelines and School Data Protection
6,International / UNESCO,25,277,0.09025270758122744,"principle, privacy, ethical, safety, security, protection, accountability, regulation, transparency, personal, risk, legal",AI Ethical Guidelines and School Data Protection
7,usa,180,248,0.7258064516129032,"staff, guidance, literacy, educator, integrity, step, academic, focus, academic integrity, professional, community, responsible",AI Educator Guidance and Professional Development
7,australia,44,248,0.1774193548387097,"staff, guidance, literacy, educator, integrity, step, academic, focus, academic integrity, professional, community, responsible",AI Educator Guidance and Professional Development
7,ireland,24,248,0.0967741935483871,"staff, guidance, literacy, educator, integrity, step, academic, focus, academic integrity, professional, community, responsible",AI Educator Guidance and Professional Development
8,australia,78,236,0.3305084745762712,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension",AI Curriculum Development and School Oversight
8,usa,64,236,0.2711864406779661,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension",AI Curriculum Development and School Oversight
8,ireland,55,236,0.2330508474576271,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension",AI Curriculum Development and School Oversight
8,france,31,236,0.13135593220338984,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension",AI Curriculum Development and School Oversight
8,International / UNESCO,8,236,0.03389830508474576,"submission, recommendation, public, inquiry, research, analysis, evidence, body, people, group, university, tension",AI Curriculum Development and School Oversight
