term,idf
usage,1.8773052851612013
outils,2.1552311826676176
cadre,2.2360832792967127
public,2.420512318430232
pédagogiques,2.4461547490435693
pédagogique,2.4724720573609433
numérique,2.513294051881198
enjeux,2.5558536662999938
place,2.615572901001616
utilisation,2.6310770875375815
données,2.662825785852162
action,2.746908903062703
innovation,2.7646084801621043
point,2.800976124332979
travail,2.8196682573451315
usages,2.8196682573451315
établissements,2.8196682573451315
nationale,2.838716452315826
entre,2.877937165469107
déploiement,2.9187591599893628
ressources,2.9187591599893628
pratiques,2.939812569187195
recherche,2.939812569187195
solution,2.939812569187195
scolaires,3.005770536978992
research,3.005770536978992
niveau,3.005770536978992
source,3.005770536978992
acteurs,3.028760055203691
cours,3.028760055203691
mise,3.028760055203691
protection,3.028760055203691
scolaire,3.052290552613885
sein,3.052290552613885
peuvent,3.101080716783317
réflexion,3.101080716783317
train,3.101080716783317
classe,3.101080716783317
développement,3.126398524767607
évaluation,3.1523740111708674
permettant,3.1523740111708674
aide,3.1523740111708674
risque,3.1523740111708674
critique,3.179042258253029
certains,3.179042258253029
large,3.179042258253029
prompt,3.2064412324411435
grand,3.2064412324411435
prise,3.2064412324411435
discipline,3.2064412324411435
réponses,3.2064412324411435
culture,3.23461210940784
face,3.23461210940784
international,3.263599646281092
terrain,3.263599646281092
direction,3.263599646281092
questionnaire,3.263599646281092
chatgpt,3.2934526094307732
autour,3.2934526094307732
académique,3.2934526094307732
nécessaire,3.2934526094307732
production,3.2934526094307732
contexte,3.324224268097527
degré,3.324224268097527
lors,3.324224268097527
utiliser,3.324224268097527
europe,3.324224268097527
bien,3.324224268097527
base,3.355972966412107
besoins,3.355972966412107
génératives,3.355972966412107
gestion,3.355972966412107
propose,3.355972966412107
fonctionnement,3.355972966412107
analyse,3.355972966412107
european,3.355972966412107
compétences,3.355972966412107
intégration,3.355972966412107
peu,3.388762789235098
approche,3.388762789235098
éducatif,3.388762789235098
éthique,3.388762789235098
numériques,3.388762789235098
language,3.388762789235098
permettre,3.4226643409107793
science,3.4226643409107793
year,3.4226643409107793
compte,3.4226643409107793
éthiques,3.4226643409107793
projet,3.4226643409107793
aujourd,3.4226643409107793
hui,3.4226643409107793
aujourd hui,3.4226643409107793
cadre usage,3.4226643409107793
également,3.4577556607220497
afin,3.4577556607220497
collective,3.4577556607220497
français,3.4577556607220497
certaines,3.4941233048929243
grande,3.4941233048929243
fait,3.4941233048929243
renforcer,3.4941233048929243
suivi,3.4941233048929243
état,3.4941233048929243
voire,3.4941233048929243
chaque,3.4941233048929243
académiques,3.4941233048929243
stratégie,3.5318636328757713
company,3.5318636328757713
content,3.5318636328757713
éducative,3.5318636328757713
administrative,3.5318636328757713
technique,3.5318636328757713
mise place,3.5318636328757713
ethical,3.5318636328757713
rapport,3.5318636328757713
échelle,3.5318636328757713
apprentissages,3.5318636328757713
académie,3.5318636328757713
act,3.5710843460290524
niveaux,3.5710843460290524
modèle,3.5710843460290524
deux,3.5710843460290524
ministère,3.5710843460290524
continue,3.5710843460290524
set,3.5710843460290524
expert,3.5710843460290524
contenus,3.5710843460290524
académies,3.5710843460290524
risques,3.5710843460290524
permet,3.5710843460290524
accompagnement,3.5710843460290524
conseil,3.6119063405493077
lien,3.6119063405493077
open,3.6119063405493077
code,3.6119063405493077
temp,3.6119063405493077
matière,3.6119063405493077
système,3.6119063405493077
legal,3.6119063405493077
systèmes,3.654465954968104
design,3.654465954968104
accompagner,3.654465954968104
task,3.654465954968104
domaine,3.654465954968104
développer,3.654465954968104
risk,3.654465954968104
accès,3.654465954968104
vers,3.654465954968104
global,3.654465954968104
besoin,3.654465954968104
principle,3.654465954968104
première,3.654465954968104
territoire,3.654465954968104
ensemble,3.654465954968104
objectifs,3.654465954968104
privacy,3.654465954968104
agent,3.6989177175389374
aim,3.6989177175389374
éducatifs,3.6989177175389374
montre,3.6989177175389374
différentes,3.6989177175389374
différents,3.6989177175389374
dimension,3.6989177175389374
discours,3.6989177175389374
social,3.6989177175389374
sous,3.6989177175389374
regard,3.6989177175389374
decision,3.6989177175389374
premier,3.6989177175389374
activités,3.6989177175389374
pilotage,3.6989177175389374
temps,3.6989177175389374
project,3.6989177175389374
time,3.6989177175389374
parcours,3.6989177175389374
évaluer,3.6989177175389374
car,3.6989177175389374
biais,3.6989177175389374
main,3.6989177175389374
gain,3.7454377331738304
rôle,3.7454377331738304
résultats,3.7454377331738304
écoles,3.7454377331738304
nombre,3.7454377331738304
elles,3.7454377331738304
situation,3.7454377331738304
nombreuses,3.7454377331738304
intégrer,3.7454377331738304
alors,3.7454377331738304
éléments,3.7454377331738304
créer,3.7454377331738304
autonomie,3.7454377331738304
vision,3.7454377331738304
help,3.7454377331738304
rapide,3.7454377331738304
user,3.7454377331738304
assistant,3.7454377331738304
value,3.7454377331738304
network,3.7942278973432626
absence,3.7942278973432626
importance,3.7942278973432626
extrait,3.7942278973432626
expérimentations,3.7942278973432626
professionnels,3.7942278973432626
comprendre,3.7942278973432626
technologique,3.7942278973432626
manque,3.7942278973432626
module,3.7942278973432626
gestes,3.7942278973432626
modalités,3.7942278973432626
forte,3.7942278973432626
deep,3.7942278973432626
communauté,3.7942278973432626
observation,3.7942278973432626
strategy,3.7942278973432626
nombreux,3.7942278973432626
court,3.8455211917308127
globale,3.8455211917308127
uvre,3.8455211917308127
paris,3.8455211917308127
demande,3.8455211917308127
instance,3.8455211917308127
publication,3.8455211917308127
fois,3.8455211917308127
regulation,3.8455211917308127
term,3.8455211917308127
compute,3.8455211917308127
guide,3.8455211917308127
choix,3.8455211917308127
toutefois,3.8455211917308127
esprit,3.8455211917308127
capacité,3.8455211917308127
aspect,3.8455211917308127
lycée,3.8455211917308127
major,3.8455211917308127
informatique,3.8455211917308127
power,3.8455211917308127
lead,3.8455211917308127
grâce,3.8455211917308127
diversité,3.8455211917308127
reste,3.8455211917308127
launch,3.8455211917308127
transformation,3.899588413001089
produce,3.899588413001089
fort,3.899588413001089
creation,3.899588413001089
clairement,3.899588413001089
unesco,3.899588413001089
tâches,3.899588413001089
aider,3.899588413001089
framework,3.899588413001089
tant,3.899588413001089
sector,3.899588413001089
mettre,3.899588413001089
transparency,3.899588413001089
exist,3.899588413001089
field,3.899588413001089
investment,3.899588413001089
economic,3.899588413001089
society,3.899588413001089
donnée,3.899588413001089
rgpd,3.899588413001089
instruction,3.899588413001089
destination,3.899588413001089
depuis,3.899588413001089
charge,3.899588413001089
directement,3.899588413001089
relation,3.899588413001089
governance,3.899588413001089
européen,3.899588413001089
personnelles,3.899588413001089
teach,3.899588413001089
voir,3.899588413001089
doivent,3.899588413001089
individual,3.899588413001089
incubateur,3.899588413001089
mathématiques,3.899588413001089
limit,3.899588413001089
administratif,3.9567468268410373
pose,3.9567468268410373
présente,3.9567468268410373
control,3.9567468268410373
termes,3.9567468268410373
mieux,3.9567468268410373
training,3.9567468268410373
général,3.9567468268410373
devoir,3.9567468268410373
recommendation,3.9567468268410373
logique,3.9567468268410373
répondants,3.9567468268410373
inria,3.9567468268410373
nécessite,3.9567468268410373
dès,3.9567468268410373
agit,3.9567468268410373
improve,3.9567468268410373
esprit critique,3.9567468268410373
recent,3.9567468268410373
pouvant,3.9567468268410373
parent,3.9567468268410373
rule,4.017371448657473
potential,4.017371448657473
processing,4.017371448657473
administration,4.017371448657473
rédaction,4.017371448657473
recommandation,4.017371448657473
potentialités,4.017371448657473
inspecteurs,4.017371448657473
inspection,4.017371448657473
format,4.017371448657473
focus,4.017371448657473
champ,4.017371448657473
pay,4.017371448657473
knowledge,4.017371448657473
grand public,4.017371448657473
intégrant,4.017371448657473
fortement,4.017371448657473
synthèse,4.017371448657473
position,4.017371448657473
property,4.017371448657473
appropriation,4.017371448657473
améliorer,4.017371448657473
gestes professionnels,4.017371448657473
générale,4.017371448657473
recours,4.017371448657473
inégalités,4.017371448657473
orientation,4.017371448657473
février,4.017371448657473
offer,4.017371448657473
nouvelles,4.017371448657473
restent,4.017371448657473
soutenir,4.017371448657473
attention,4.017371448657473
essentiel,4.017371448657473
meet,4.017371448657473
vie,4.017371448657473
conclusion,4.017371448657473
canopé,4.081909969795044
intellectual property,4.081909969795044
intellectual,4.081909969795044
fin,4.081909969795044
produire,4.081909969795044
conception,4.081909969795044
trop,4.081909969795044
present,4.081909969795044
projets,4.081909969795044
fund,4.081909969795044
prendre,4.081909969795044
generate,4.081909969795044
université,4.081909969795044
natural,4.081909969795044
dialogue,4.081909969795044
processus,4.081909969795044
people,4.081909969795044
durée,4.081909969795044
identifiés,4.081909969795044
formés,4.081909969795044
ceux,4.081909969795044
modèles,4.081909969795044
utilisés,4.081909969795044
hors,4.081909969795044
celui,4.081909969795044
conséquences,4.081909969795044
high,4.081909969795044
heure,4.081909969795044
lieu,4.081909969795044
output,4.081909969795044
numérique éducatif,4.081909969795044
cadres,4.081909969795044
renforcement,4.081909969795044
actuel,4.081909969795044
faut,4.081909969795044
protect,4.081909969795044
build,4.081909969795044
industrial,4.081909969795044
ecosystem,4.081909969795044
évolution,4.081909969795044
pourtant,4.081909969795044
professionnelle,4.081909969795044
context,4.081909969795044
analysis,4.081909969795044
infrastructure,4.081909969795044
increase,4.081909969795044
concept,4.150902841281995
subject,4.150902841281995
pratique,4.150902841281995
jusqu,4.150902841281995
enseignements,4.150902841281995
enjeu,4.150902841281995
caractère,4.150902841281995
recommend,4.150902841281995
objet,4.150902841281995
skill,4.150902841281995
perception,4.150902841281995
contribute,4.150902841281995
façon,4.150902841281995
likely,4.150902841281995
industry,4.150902841281995
étape,4.150902841281995
territorial,4.150902841281995
traitement,4.150902841281995
mis,4.150902841281995
génération,4.150902841281995
condition,4.150902841281995
scientifiques,4.150902841281995
assistance,4.150902841281995
world,4.150902841281995
classification,4.150902841281995
cnil,4.150902841281995
come,4.150902841281995
complex,4.150902841281995
fraternite,4.150902841281995
opportunités,4.150902841281995
critical,4.150902841281995
réseau,4.150902841281995
création,4.150902841281995
environment,4.150902841281995
janvier,4.150902841281995
nature,4.150902841281995
particulièrement,4.150902841281995
écriture,4.150902841281995
introduction,4.150902841281995
effort,4.150902841281995
vidéo,4.150902841281995
phase,4.150902841281995
enseigner,4.150902841281995
apply,4.150902841281995
professionnelles,4.150902841281995
ocde,4.150902841281995
quels,4.150902841281995
proposition,4.150902841281995
professionnel,4.150902841281995
effect,4.150902841281995
soutien,4.150902841281995
faciliter,4.150902841281995
authority,4.150902841281995
autant,4.150902841281995
langage,4.150902841281995
economy,4.150902841281995
expérimentation,4.150902841281995
long,4.150902841281995
socle,4.225010813435716
extrait questionnaire,4.225010813435716
standard,4.225010813435716
parfois,4.225010813435716
offre,4.225010813435716
système éducatif,4.225010813435716
cognitive,4.225010813435716
curriculum,4.225010813435716
uniquement,4.225010813435716
font,4.225010813435716
plutôt,4.225010813435716
langue,4.225010813435716
piste,4.225010813435716
répondants répondants,4.225010813435716
trois,4.225010813435716
allow,4.225010813435716
exception,4.225010813435716
share,4.225010813435716
nécessité,4.225010813435716
montrent,4.225010813435716
quel,4.225010813435716
quant,4.225010813435716
utilisée,4.225010813435716
efficacité,4.225010813435716
environnemental,4.225010813435716
européenne,4.225010813435716
mar,4.225010813435716
class,4.225010813435716
holmes,4.225010813435716
règlement,4.225010813435716
outils base,4.225010813435716
équitable,4.225010813435716
performance,4.225010813435716
personal,4.225010813435716
recommandations,4.225010813435716
massive,4.225010813435716
expertise,4.225010813435716
toujours,4.225010813435716
maîtrise,4.225010813435716
assessment,4.225010813435716
présentiel,4.225010813435716
moyens,4.225010813435716
adapt,4.225010813435716
administratifs,4.225010813435716
capability,4.225010813435716
enfin,4.225010813435716
tech,4.225010813435716
construction,4.225010813435716
ria,4.225010813435716
effet,4.225010813435716
réelle,4.225010813435716
structure,4.225010813435716
capable,4.225010813435716
developer,4.225010813435716
