tractor_id,day,vibration_index,heat_index,oil_pressure,sensor_error_code
T-000,1,7.15,63.54,64.12,0
T-000,2,6.49,65.25,53.24,0
T-000,3,7.55,71.94,39.91,1
T-000,4,8.86,59.4,57.34,0
T-000,5,8.21,67.06,66.98,0
T-000,6,6.75,60.16,58.26,0
T-000,7,8.17,63.58,37.85,0
T-000,8,8.39,68.27,46.13,0
T-000,9,7.12,65.19,60.14,1
T-000,10,8.15,61.77,44.34,0
T-000,11,8.06,62.85,53.55,1
T-000,12,6.86,67.04,56.2,0
T-000,13,8.36,62.81,42.58,0
T-000,14,8.56,65.65,49.52,0
T-000,15,9.08,65.14,24.07,0
T-000,16,9.05,63.05,41.8,0
T-000,17,6.62,71.43,47.98,0
T-000,18,7.06,66.9,40.02,0
T-000,19,8.52,58.92,63.06,0
T-000,20,8.51,65.56,38.56,0
T-000,21,8.52,63.01,46.48,0
T-000,22,11.85,67.56,51.05,0
T-000,23,8.57,62.62,61.53,0
T-000,24,9.14,64.66,38.51,0
T-000,25,8.95,66.51,59.31,0
T-000,26,8.65,67.6,50.08,0
T-000,27,7.68,61.4,42.15,0
T-000,28,8.76,64.0,53.7,0
T-000,29,7.23,63.58,51.59,0
T-000,30,7.76,63.04,45.2,0
T-001,1,10.07,86.95,54.44,0
T-001,2,17.28,95.05,55.87,0
T-001,3,18.24,90.33,41.17,0
T-001,4,17.88,87.98,56.09,0
T-001,5,13.27,85.33,45.61,0
T-001,6,15.27,85.36,30.33,0
T-001,7,15.48,76.36,50.46,0
T-001,8,11.45,82.7,43.25,0
T-001,9,14.86,90.32,60.87,0
T-001,10,16.64,83.6,47.71,1
T-001,11,16.03,85.27,50.36,0
T-001,12,12.28,77.94,53.11,0
T-001,13,12.77,87.67,47.86,0
T-001,14,16.08,76.23,49.17,0
T-001,15,15.77,86.74,56.75,0
T-001,16,9.99,83.88,41.47,0
T-001,17,9.59,74.54,44.39,0
T-001,18,14.35,91.42,42.26,0
T-001,19,13.32,84.02,61.49,0
T-001,20,13.9,96.16,44.39,0
T-001,21,13.68,93.87,48.85,2
T-001,22,16.47,79.72,45.2,0
T-001,23,14.71,80.25,47.53,0
T-001,24,15.04,77.97,44.1,0
T-001,25,11.82,75.48,53.7,0
T-001,26,7.77,82.47,41.67,0
T-001,27,16.75,93.66,39.18,0
T-001,28,18.79,73.51,45.53,0
T-001,29,13.81,90.11,43.61,0
T-001,30,15.0,89.61,39.3,0
T-002,1,11.51,73.65,44.4,0
T-002,2,11.57,78.59,51.71,0
T-002,3,10.82,82.51,49.1,0
T-002,4,12.43,75.37,48.23,0
T-002,5,9.9,83.14,54.91,0
T-002,6,11.29,68.1,56.06,0
T-002,7,11.68,66.48,45.76,0
T-002,8,12.27,74.72,45.39,0
T-002,9,12.57,76.92,47.8,0
T-002,10,9.81,74.84,31.58,0
T-002,11,9.2,64.66,37.88,0
T-002,12,13.42,74.55,60.93,2
T-002,13,12.0,68.48,63.16,0
T-002,14,10.38,78.35,48.01,0
T-002,15,13.83,76.83,54.61,0
T-002,16,11.67,70.3,52.49,0
T-002,17,13.27,72.43,74.63,0
T-002,18,11.6,69.7,58.96,0
T-002,19,14.59,74.69,48.98,0
T-002,20,14.13,79.78,42.36,0
T-002,21,11.13,70.07,37.15,0
T-002,22,12.96,77.52,51.63,0
T-002,23,12.47,72.35,43.95,0
T-002,24,13.55,71.04,38.62,0
